Zbiór danych,Model,Metoda,Run,Najlepsze parametry
Wine,Random Forest,Grid Search,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
Wine,Random Forest,Grid Search,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
Wine,Random Forest,Grid Search,3,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}"
Wine,Random Forest,Random Search,1,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None}"
Wine,Random Forest,Random Search,2,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None}"
Wine,Random Forest,Random Search,3,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': None}"
Wine,Random Forest,Bayesian Search,1,"OrderedDict([('classifier__max_depth', 11), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 2), ('classifier__n_estimators', 263)])"
Wine,Random Forest,Bayesian Search,2,"OrderedDict([('classifier__max_depth', 15), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 2), ('classifier__n_estimators', 100)])"
Wine,Random Forest,Bayesian Search,3,"OrderedDict([('classifier__max_depth', 15), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 2), ('classifier__n_estimators', 100)])"
Wine,Logistic Regression,Grid Search,1,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}"
Wine,Logistic Regression,Grid Search,2,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Wine,Logistic Regression,Grid Search,3,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Wine,Logistic Regression,Random Search,1,"{'classifier__solver': 'saga', 'classifier__penalty': 'l2', 'classifier__C': 10}"
Wine,Logistic Regression,Random Search,2,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.1}"
Wine,Logistic Regression,Random Search,3,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 1}"
Wine,Logistic Regression,Bayesian Search,1,"OrderedDict([('classifier__C', 4.263118512591403), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Wine,Logistic Regression,Bayesian Search,2,"OrderedDict([('classifier__C', 0.08992101066617138), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Wine,Logistic Regression,Bayesian Search,3,"OrderedDict([('classifier__C', 1.5925169151603527), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Wine,XGBoost,Grid Search,1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Wine,XGBoost,Grid Search,2,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}"
Wine,XGBoost,Grid Search,3,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}"
Wine,XGBoost,Random Search,1,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01}"
Wine,XGBoost,Random Search,2,"{'classifier__subsample': 1.0, 'classifier__n_estimators': 100, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2}"
Wine,XGBoost,Random Search,3,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 100, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2}"
Wine,XGBoost,Bayesian Search,1,"OrderedDict([('classifier__learning_rate', 0.045401641878176635), ('classifier__max_depth', 8), ('classifier__n_estimators', 121), ('classifier__subsample', 0.7166664009351126)])"
Wine,XGBoost,Bayesian Search,2,"OrderedDict([('classifier__learning_rate', 0.03140202438264578), ('classifier__max_depth', 8), ('classifier__n_estimators', 138), ('classifier__subsample', 0.6890526264979597)])"
Wine,XGBoost,Bayesian Search,3,"OrderedDict([('classifier__learning_rate', 0.02623481372631809), ('classifier__max_depth', 5), ('classifier__n_estimators', 211), ('classifier__subsample', 0.6256730450661738)])"
Drug,Random Forest,Grid Search,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
Drug,Random Forest,Grid Search,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
Drug,Random Forest,Grid Search,3,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 300}"
Drug,Random Forest,Random Search,1,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 10}"
Drug,Random Forest,Random Search,2,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 10}"
Drug,Random Forest,Random Search,3,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 10}"
Drug,Random Forest,Bayesian Search,1,"OrderedDict([('classifier__max_depth', 7), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 9), ('classifier__n_estimators', 163)])"
Drug,Random Forest,Bayesian Search,2,"OrderedDict([('classifier__max_depth', 7), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 9), ('classifier__n_estimators', 163)])"
Drug,Random Forest,Bayesian Search,3,"OrderedDict([('classifier__max_depth', 12), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 7), ('classifier__n_estimators', 261)])"
Drug,Logistic Regression,Grid Search,1,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Drug,Logistic Regression,Grid Search,2,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Drug,Logistic Regression,Grid Search,3,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Drug,Logistic Regression,Random Search,1,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 10}"
Drug,Logistic Regression,Random Search,2,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 10}"
Drug,Logistic Regression,Random Search,3,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 1}"
Drug,Logistic Regression,Bayesian Search,1,"OrderedDict([('classifier__C', 2.5041499136197736), ('classifier__penalty', 'l2'), ('classifier__solver', 'saga')])"
Drug,Logistic Regression,Bayesian Search,2,"OrderedDict([('classifier__C', 7.352481813242629), ('classifier__penalty', 'l2'), ('classifier__solver', 'saga')])"
Drug,Logistic Regression,Bayesian Search,3,"OrderedDict([('classifier__C', 7.352481813242629), ('classifier__penalty', 'l2'), ('classifier__solver', 'saga')])"
Drug,XGBoost,Grid Search,1,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Drug,XGBoost,Grid Search,2,"{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}"
Drug,XGBoost,Grid Search,3,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Drug,XGBoost,Random Search,1,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2}"
Drug,XGBoost,Random Search,2,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2}"
Drug,XGBoost,Random Search,3,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 100, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.2}"
Drug,XGBoost,Bayesian Search,1,"OrderedDict([('classifier__learning_rate', 0.040343472274915984), ('classifier__max_depth', 7), ('classifier__n_estimators', 287), ('classifier__subsample', 0.6578997967435244)])"
Drug,XGBoost,Bayesian Search,2,"OrderedDict([('classifier__learning_rate', 0.17255364529395611), ('classifier__max_depth', 7), ('classifier__n_estimators', 161), ('classifier__subsample', 0.9756119532966647)])"
Drug,XGBoost,Bayesian Search,3,"OrderedDict([('classifier__learning_rate', 0.040343472274915984), ('classifier__max_depth', 7), ('classifier__n_estimators', 287), ('classifier__subsample', 0.6578997967435244)])"
Iris,Random Forest,Grid Search,1,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
Iris,Random Forest,Grid Search,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
Iris,Random Forest,Grid Search,3,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}"
Iris,Random Forest,Random Search,1,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 10}"
Iris,Random Forest,Random Search,2,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 10}"
Iris,Random Forest,Random Search,3,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 5}"
Iris,Random Forest,Bayesian Search,1,"OrderedDict([('classifier__max_depth', 7), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 9), ('classifier__n_estimators', 163)])"
Iris,Random Forest,Bayesian Search,2,"OrderedDict([('classifier__max_depth', 4), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 10), ('classifier__n_estimators', 119)])"
Iris,Random Forest,Bayesian Search,3,"OrderedDict([('classifier__max_depth', 12), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 7), ('classifier__n_estimators', 261)])"
Iris,Logistic Regression,Grid Search,1,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Iris,Logistic Regression,Grid Search,2,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Iris,Logistic Regression,Grid Search,3,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Iris,Logistic Regression,Random Search,1,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 1}"
Iris,Logistic Regression,Random Search,2,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 10}"
Iris,Logistic Regression,Random Search,3,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 1}"
Iris,Logistic Regression,Bayesian Search,1,"OrderedDict([('classifier__C', 1.5925169151603527), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Iris,Logistic Regression,Bayesian Search,2,"OrderedDict([('classifier__C', 3.2521088005944945), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Iris,Logistic Regression,Bayesian Search,3,"OrderedDict([('classifier__C', 0.7099668574083867), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Iris,XGBoost,Grid Search,1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}"
Iris,XGBoost,Grid Search,2,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}"
Iris,XGBoost,Grid Search,3,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Iris,XGBoost,Random Search,1,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01}"
Iris,XGBoost,Random Search,2,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 100, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.01}"
Iris,XGBoost,Random Search,3,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Iris,XGBoost,Bayesian Search,1,"OrderedDict([('classifier__learning_rate', 0.010124239352823897), ('classifier__max_depth', 7), ('classifier__n_estimators', 248), ('classifier__subsample', 0.6272771289320225)])"
Iris,XGBoost,Bayesian Search,2,"OrderedDict([('classifier__learning_rate', 0.013298576607546127), ('classifier__max_depth', 8), ('classifier__n_estimators', 100), ('classifier__subsample', 0.9983056786140603)])"
Iris,XGBoost,Bayesian Search,3,"OrderedDict([('classifier__learning_rate', 0.010124239352823897), ('classifier__max_depth', 7), ('classifier__n_estimators', 248), ('classifier__subsample', 0.6272771289320225)])"
Titanic,Random Forest,Grid Search,1,"{'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}"
Titanic,Random Forest,Grid Search,2,"{'classifier__max_depth': 10, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}"
Titanic,Random Forest,Grid Search,3,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}"
Titanic,Random Forest,Random Search,1,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 5}"
Titanic,Random Forest,Random Search,2,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None}"
Titanic,Random Forest,Random Search,3,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None}"
Titanic,Random Forest,Bayesian Search,1,"OrderedDict([('classifier__max_depth', 12), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 2), ('classifier__n_estimators', 100)])"
Titanic,Random Forest,Bayesian Search,2,"OrderedDict([('classifier__max_depth', 6), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 2), ('classifier__n_estimators', 296)])"
Titanic,Random Forest,Bayesian Search,3,"OrderedDict([('classifier__max_depth', 15), ('classifier__min_samples_leaf', 1), ('classifier__min_samples_split', 10), ('classifier__n_estimators', 100)])"
Titanic,Logistic Regression,Grid Search,1,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Titanic,Logistic Regression,Grid Search,2,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}"
Titanic,Logistic Regression,Grid Search,3,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}"
Titanic,Logistic Regression,Random Search,1,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 10}"
Titanic,Logistic Regression,Random Search,2,"{'classifier__solver': 'saga', 'classifier__penalty': 'l2', 'classifier__C': 1}"
Titanic,Logistic Regression,Random Search,3,"{'classifier__solver': 'lbfgs', 'classifier__penalty': 'l2', 'classifier__C': 0.1}"
Titanic,Logistic Regression,Bayesian Search,1,"OrderedDict([('classifier__C', 0.022857670572928663), ('classifier__penalty', 'l2'), ('classifier__solver', 'lbfgs')])"
Titanic,Logistic Regression,Bayesian Search,2,"OrderedDict([('classifier__C', 1.0278008866320525), ('classifier__penalty', 'l2'), ('classifier__solver', 'saga')])"
Titanic,Logistic Regression,Bayesian Search,3,"OrderedDict([('classifier__C', 0.042193593775821506), ('classifier__penalty', 'l2'), ('classifier__solver', 'saga')])"
Titanic,XGBoost,Grid Search,1,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Titanic,XGBoost,Grid Search,2,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Titanic,XGBoost,Grid Search,3,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}"
Titanic,XGBoost,Random Search,1,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Titanic,XGBoost,Random Search,2,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Titanic,XGBoost,Random Search,3,"{'classifier__subsample': 0.6, 'classifier__n_estimators': 300, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.01}"
Titanic,XGBoost,Bayesian Search,1,"OrderedDict([('classifier__learning_rate', 0.027739843937365116), ('classifier__max_depth', 3), ('classifier__n_estimators', 300), ('classifier__subsample', 0.5)])"
Titanic,XGBoost,Bayesian Search,2,"OrderedDict([('classifier__learning_rate', 0.02884451264166195), ('classifier__max_depth', 3), ('classifier__n_estimators', 233), ('classifier__subsample', 0.5)])"
Titanic,XGBoost,Bayesian Search,3,"OrderedDict([('classifier__learning_rate', 0.0579121298419212), ('classifier__max_depth', 3), ('classifier__n_estimators', 298), ('classifier__subsample', 0.801716889961031)])"
