type_school,school_accreditation,gender,interest,residence,parent_age,parent_salary,house_area,average_grades,parent_was_in_college,will_go_to_college
Academic,A,Male,Less Interested,Urban,56,6950000,83.0,84.09,False,True
Academic,A,Male,Less Interested,Urban,57,4410000,76.8,86.91,False,True
Academic,B,Female,Very Interested,Urban,50,6500000,80.6,87.43,False,True
Vocational,B,Male,Very Interested,Rural,49,6600000,78.2,82.12,True,True
Academic,A,Female,Very Interested,Urban,57,5250000,75.1,86.79,False,False
Vocational,B,Female,Less Interested,Rural,48,3770000,65.3,86.79,True,False
Academic,A,Male,Very Interested,Rural,52,6680000,85.5,90.39,True,True
Academic,B,Male,Very Interested,Rural,53,5890000,83.3,84.65,True,False
Academic,B,Female,Uncertain,Rural,52,6730000,80.3,88.5,True,True
Academic,B,Female,Very Interested,Rural,47,3880000,68.0,85.43,True,False
Vocational,A,Male,Not Interested,Rural,57,5680000,67.1,89.45,True,False
Vocational,B,Male,Uncertain,Rural,48,5950000,60.7,84.96,True,False
Vocational,B,Male,Uncertain,Rural,47,6930000,65.4,86.23,True,False
Academic,B,Male,Very Interested,Rural,53,7130000,88.5,91.92,True,True
Academic,A,Male,Very Interested,Urban,51,3370000,67.1,84.09,False,False
Vocational,A,Female,Less Interested,Urban,53,6940000,50.1,89.71,True,True
Academic,B,Male,Very Interested,Rural,48,3970000,63.5,86.38,True,False
Vocational,B,Female,Very Interested,Rural,49,6790000,75.9,85.68,True,False
Vocational,A,Female,Less Interested,Rural,47,7180000,68.3,84.9,False,False
Vocational,B,Female,Very Interested,Rural,47,4090000,54.5,85.94,True,False
Vocational,B,Female,Very Interested,Urban,52,6680000,64.5,87.64,True,True
Academic,B,Female,Interested,Urban,56,2600000,77.5,86.5,True,False
Academic,A,Female,Very Interested,Urban,51,3900000,57.9,83.18,False,False
Academic,B,Female,Interested,Urban,60,4250000,58.1,83.99,False,False
Academic,B,Male,Very Interested,Urban,54,6400000,83.8,88.3,False,True
Vocational,A,Male,Not Interested,Urban,51,5760000,71.5,83.42,False,True
Vocational,B,Male,Very Interested,Rural,55,4950000,94.6,85.39,True,False
Vocational,A,Male,Uncertain,Urban,53,4720000,78.5,82.26,False,True
Vocational,B,Male,Not Interested,Rural,51,4890000,90.0,87.36,True,False
Vocational,B,Female,Uncertain,Rural,50,6450000,78.4,85.86,True,False
Vocational,A,Male,Very Interested,Rural,49,6470000,74.6,86.32,True,True
Vocational,B,Male,Less Interested,Urban,54,5080000,40.7,82.39,True,False
Academic,A,Male,Very Interested,Urban,60,3230000,79.6,85.96,False,False
Academic,B,Male,Less Interested,Rural,52,6130000,76.1,82.7,True,False
Vocational,A,Female,Very Interested,Rural,52,5700000,102.8,85.31,True,True
Academic,A,Female,Very Interested,Urban,53,5900000,79.7,88.96,False,True
Academic,A,Male,Uncertain,Urban,55,6610000,76.1,89.83,False,True
Vocational,A,Female,Very Interested,Rural,48,5940000,62.4,83.67,True,False
Academic,A,Male,Less Interested,Urban,54,7310000,54.6,83.57,False,False
Vocational,B,Female,Not Interested,Rural,53,4660000,80.2,86.73,True,False
Academic,A,Female,Not Interested,Urban,50,5630000,69.9,80.5,False,True
Academic,B,Female,Less Interested,Urban,53,3970000,65.6,88.49,True,False
Vocational,B,Female,Very Interested,Urban,53,5550000,82.9,83.74,True,True
Vocational,A,Female,Very Interested,Rural,52,6680000,89.2,89.35,True,True
Vocational,A,Female,Very Interested,Urban,50,5570000,75.8,83.55,False,True
Academic,A,Male,Uncertain,Urban,50,2660000,64.6,79.92,True,False
Academic,A,Female,Uncertain,Rural,51,4720000,57.2,84.81,True,False
Vocational,A,Male,Very Interested,Urban,55,4740000,97.1,90.49,False,True
Academic,A,Female,Uncertain,Rural,54,7260000,77.1,89.02,True,True
Vocational,A,Male,Uncertain,Rural,53,5570000,79.7,88.42,False,False
Vocational,A,Male,Very Interested,Rural,46,7460000,89.7,90.78,True,True
Vocational,A,Male,Less Interested,Urban,56,6110000,61.6,87.56,False,True
Vocational,B,Female,Uncertain,Rural,51,5930000,79.8,92.53,True,True
Academic,B,Female,Less Interested,Urban,51,3850000,57.2,84.37,False,False
Vocational,B,Male,Uncertain,Rural,51,6540000,87.1,88.19,True,False
Vocational,A,Male,Very Interested,Urban,55,4880000,88.2,93.05,False,True
Vocational,A,Male,Uncertain,Rural,55,4590000,75.0,94.03,True,True
Vocational,A,Male,Uncertain,Rural,47,6390000,70.3,84.25,True,False
Academic,A,Female,Interested,Urban,46,7610000,59.8,83.17,False,False
Academic,A,Male,Very Interested,Urban,55,3760000,87.1,91.15,True,True
Academic,A,Female,Not Interested,Rural,49,6220000,84.0,82.48,True,True
Academic,B,Male,Less Interested,Rural,49,6210000,82.3,83.72,False,False
Vocational,A,Male,Not Interested,Urban,51,4800000,66.2,79.17,False,True
Vocational,A,Female,Very Interested,Rural,48,5840000,79.7,85.51,True,False
Academic,A,Male,Interested,Urban,55,5610000,82.4,82.49,False,False
Vocational,A,Male,Less Interested,Urban,54,5620000,68.6,86.0,False,True
Vocational,B,Male,Uncertain,Rural,52,6300000,77.8,86.73,True,False
Academic,A,Male,Very Interested,Urban,52,4740000,50.9,84.78,False,False
Vocational,A,Male,Not Interested,Rural,51,5720000,84.1,86.89,True,True
Vocational,A,Female,Very Interested,Rural,53,6200000,81.2,89.19,True,True
Academic,A,Female,Very Interested,Urban,53,5570000,93.5,88.92,False,True
Vocational,B,Male,Uncertain,Rural,49,6700000,78.9,87.54,True,False
Academic,B,Female,Very Interested,Rural,47,4100000,60.6,83.24,True,False
Academic,A,Female,Less Interested,Urban,57,3200000,74.8,84.93,False,False
Vocational,B,Male,Not Interested,Rural,54,7570000,74.6,93.57,True,True
Vocational,B,Female,Interested,Urban,55,4200000,51.2,84.02,False,False
Academic,B,Male,Uncertain,Urban,57,4500000,50.7,80.55,False,True
Vocational,A,Male,Very Interested,Rural,54,5750000,94.1,88.87,False,True
Academic,B,Male,Uncertain,Rural,50,8390000,81.4,89.21,True,True
Academic,A,Male,Very Interested,Urban,52,6550000,79.4,91.17,False,True
Academic,B,Female,Very Interested,Urban,54,4730000,88.4,82.52,False,False
Vocational,B,Male,Uncertain,Rural,50,5540000,86.8,85.88,True,False
Academic,B,Male,Less Interested,Urban,58,5030000,69.9,82.39,False,True
Vocational,A,Male,Uncertain,Urban,52,5920000,76.0,86.2,False,True
Academic,A,Female,Interested,Urban,56,3990000,61.0,84.48,False,False
Vocational,B,Female,Interested,Urban,56,5280000,56.0,88.38,False,False
Vocational,A,Male,Less Interested,Urban,55,6090000,75.3,89.31,True,True
Vocational,A,Male,Less Interested,Urban,51,7040000,57.6,87.37,True,True
Vocational,A,Female,Very Interested,Urban,52,5420000,83.4,83.14,False,True
Vocational,A,Male,Very Interested,Urban,53,5510000,76.4,83.7,False,True
Academic,A,Female,Less Interested,Urban,55,4740000,65.0,87.56,False,False
Vocational,B,Male,Interested,Urban,54,3240000,54.5,81.7,False,False
Vocational,A,Male,Interested,Urban,60,6650000,96.7,92.76,False,True
Academic,B,Male,Less Interested,Urban,52,4070000,58.0,85.08,True,False
Vocational,B,Male,Very Interested,Rural,41,9110000,79.2,91.7,True,True
Academic,B,Female,Very Interested,Rural,49,7480000,84.1,87.4,True,True
Vocational,A,Male,Uncertain,Rural,48,5740000,65.2,83.28,False,False
Vocational,A,Female,Very Interested,Urban,54,6020000,84.3,87.17,True,True
Academic,B,Female,Very Interested,Rural,51,6460000,87.2,84.75,True,True
Vocational,A,Male,Uncertain,Rural,52,5610000,104.2,83.73,False,True
Academic,A,Female,Uncertain,Urban,52,3520000,69.2,82.44,False,False
Academic,A,Male,Very Interested,Urban,55,3100000,82.5,84.05,False,False
Vocational,A,Male,Uncertain,Rural,52,5570000,96.9,85.81,False,True
Academic,A,Female,Less Interested,Rural,51,5050000,74.7,84.28,False,False
Academic,A,Female,Very Interested,Urban,52,5430000,81.5,90.54,False,True
Vocational,A,Female,Uncertain,Rural,53,4760000,82.8,85.77,True,False
Vocational,A,Female,Very Interested,Rural,49,6370000,97.9,85.37,True,True
Academic,B,Male,Very Interested,Rural,54,5840000,86.7,88.18,True,True
Academic,A,Male,Less Interested,Urban,59,4370000,73.4,84.01,False,False
Academic,A,Male,Interested,Urban,57,6090000,34.0,83.5,False,False
Vocational,A,Male,Uncertain,Rural,51,5200000,74.7,86.62,True,False
Academic,B,Female,Less Interested,Urban,52,2960000,79.4,86.99,True,False
Academic,B,Male,Less Interested,Rural,52,8160000,75.9,93.55,True,True
Vocational,B,Female,Interested,Urban,52,4540000,45.9,84.98,True,False
Academic,B,Female,Very Interested,Rural,49,7790000,80.2,87.53,True,True
Vocational,A,Male,Less Interested,Rural,43,7510000,60.5,84.64,False,False
Vocational,A,Male,Uncertain,Rural,50,6030000,75.9,86.34,False,False
Academic,A,Male,Very Interested,Rural,53,4260000,76.2,89.55,False,False
Vocational,B,Female,Less Interested,Urban,60,4720000,77.6,83.62,False,True
Vocational,B,Male,Not Interested,Rural,55,2920000,82.5,85.43,True,False
Vocational,B,Female,Interested,Urban,49,4150000,46.1,81.91,True,False
Academic,B,Male,Uncertain,Rural,48,7700000,67.0,88.34,True,True
Academic,B,Female,Very Interested,Rural,52,6710000,77.8,88.17,True,True
Vocational,B,Female,Not Interested,Rural,46,6650000,77.7,83.72,True,True
Academic,B,Female,Less Interested,Urban,56,6990000,67.5,89.74,True,True
Academic,A,Female,Less Interested,Urban,54,5230000,49.8,82.32,False,False
Academic,B,Male,Not Interested,Rural,46,7200000,76.0,92.99,True,True
Academic,B,Male,Less Interested,Urban,50,3430000,59.1,84.1,False,False
Vocational,B,Male,Not Interested,Rural,50,4850000,71.6,93.53,True,True
Academic,B,Male,Less Interested,Urban,53,3510000,70.5,85.29,True,False
Vocational,B,Female,Very Interested,Rural,55,5650000,73.0,84.81,False,False
Academic,A,Female,Uncertain,Rural,46,2780000,62.0,79.02,True,False
Vocational,B,Male,Uncertain,Rural,53,6380000,89.6,88.18,True,True
Vocational,B,Male,Interested,Rural,50,5070000,49.3,85.72,True,False
Academic,B,Female,Uncertain,Rural,50,4410000,90.6,96.56,True,True
Vocational,B,Male,Uncertain,Rural,49,4190000,87.2,83.54,True,False
Academic,B,Female,Very Interested,Urban,53,4930000,89.1,92.08,True,True
Academic,A,Female,Very Interested,Urban,49,4100000,58.4,83.16,False,False
Academic,A,Female,Less Interested,Urban,53,4510000,52.6,81.87,False,False
Academic,A,Male,Interested,Urban,53,3320000,63.4,83.62,False,False
Vocational,A,Male,Very Interested,Rural,54,5890000,85.6,88.55,False,True
Academic,A,Female,Interested,Urban,58,4950000,50.4,83.52,False,False
Vocational,A,Male,Less Interested,Rural,48,8120000,68.8,82.45,False,False
Academic,A,Female,Uncertain,Rural,47,6360000,84.5,82.23,True,True
Vocational,B,Female,Uncertain,Rural,53,3980000,80.5,84.13,True,False
Academic,B,Male,Very Interested,Rural,50,6460000,79.3,86.48,True,True
Vocational,A,Female,Uncertain,Rural,49,5710000,74.3,82.02,True,True
Academic,B,Female,Less Interested,Urban,56,5670000,75.3,83.71,False,False
Vocational,B,Female,Uncertain,Rural,42,8080000,83.0,89.39,True,True
Academic,B,Female,Less Interested,Urban,49,4840000,54.9,85.81,True,False
Academic,B,Female,Uncertain,Rural,48,5020000,88.0,92.47,True,True
Vocational,B,Female,Uncertain,Rural,46,7080000,46.3,84.33,True,True
Academic,B,Female,Very Interested,Urban,58,5390000,74.9,86.92,False,True
Academic,B,Female,Uncertain,Rural,52,4890000,109.1,80.65,True,True
Vocational,B,Male,Uncertain,Rural,55,3610000,79.0,83.12,True,False
Vocational,A,Female,Very Interested,Rural,49,6750000,77.4,86.38,True,True
Vocational,A,Male,Uncertain,Urban,56,3970000,84.7,86.49,False,False
Vocational,B,Female,Uncertain,Rural,52,4150000,78.3,84.49,True,False
Academic,A,Female,Less Interested,Urban,55,6960000,78.5,83.84,False,False
Vocational,B,Female,Interested,Urban,54,3680000,51.7,85.09,True,False
Vocational,B,Male,Uncertain,Rural,54,4640000,84.3,92.8,True,True
Academic,B,Male,Very Interested,Urban,52,6750000,90.1,86.23,False,True
Academic,A,Male,Less Interested,Urban,54,3650000,76.4,87.09,False,False
Academic,A,Female,Very Interested,Urban,56,3700000,72.7,85.14,False,False
Academic,B,Male,Not Interested,Rural,49,7570000,62.3,89.95,True,True
Academic,B,Male,Uncertain,Urban,53,6160000,80.8,91.16,True,True
Vocational,B,Female,Uncertain,Rural,54,4840000,84.6,86.15,True,False
Academic,A,Female,Very Interested,Urban,59,2910000,79.6,85.24,False,False
Vocational,A,Female,Less Interested,Rural,49,5920000,100.2,83.94,True,True
Academic,B,Female,Less Interested,Urban,50,3360000,63.5,84.98,True,False
Vocational,A,Male,Uncertain,Urban,55,5610000,65.0,88.23,False,True
Academic,B,Female,Not Interested,Rural,50,8290000,67.4,89.16,True,True
Academic,A,Male,Very Interested,Urban,60,1830000,75.9,81.19,False,False
Vocational,B,Male,Less Interested,Rural,50,6680000,87.9,86.56,True,True
Academic,A,Male,Less Interested,Urban,53,4180000,69.3,80.96,False,False
Academic,B,Male,Very Interested,Rural,49,3770000,66.7,85.93,True,False
Vocational,A,Male,Very Interested,Rural,52,6140000,86.3,87.28,False,True
Academic,B,Female,Uncertain,Rural,52,5340000,85.2,95.1,True,True
Academic,A,Female,Less Interested,Urban,51,4720000,104.5,87.24,False,True
Vocational,A,Male,Uncertain,Rural,52,5720000,55.0,85.31,True,False
Academic,A,Female,Less Interested,Urban,53,5310000,72.3,81.04,False,False
Academic,A,Male,Very Interested,Urban,51,7430000,74.3,88.84,False,True
Vocational,B,Male,Uncertain,Rural,55,4830000,83.3,87.3,True,False
Academic,B,Female,Uncertain,Rural,50,5690000,75.2,91.47,True,True
Academic,A,Female,Less Interested,Rural,44,5410000,36.6,83.48,False,False
Vocational,B,Female,Uncertain,Rural,54,5490000,81.3,91.27,True,True
Vocational,A,Male,Not Interested,Urban,55,3660000,77.5,78.59,False,True
Academic,A,Female,Less Interested,Urban,53,5110000,68.2,82.67,False,False
Vocational,B,Male,Very Interested,Urban,53,5690000,66.4,86.53,True,True
Academic,B,Female,Very Interested,Rural,54,6160000,120.0,88.98,True,True
Academic,B,Female,Less Interested,Rural,54,4550000,65.8,84.97,True,False
Vocational,B,Female,Uncertain,Rural,47,6130000,81.5,84.88,True,False
Vocational,A,Male,Uncertain,Rural,52,5620000,74.9,85.15,False,False
Academic,B,Male,Very Interested,Urban,55,5250000,80.7,83.89,False,False
Vocational,B,Female,Uncertain,Rural,54,3700000,99.6,83.5,True,False
Academic,A,Male,Interested,Urban,55,5120000,49.7,85.73,False,False
Vocational,A,Male,Very Interested,Rural,47,6200000,75.3,82.35,True,True
Vocational,B,Female,Not Interested,Rural,53,4340000,87.5,85.56,True,False
Academic,B,Male,Uncertain,Rural,55,5530000,112.5,88.51,True,True
Academic,B,Male,Interested,Urban,53,4100000,54.0,84.9,False,False
Vocational,A,Male,Uncertain,Urban,56,5580000,65.2,85.96,False,True
Academic,A,Female,Less Interested,Urban,58,5370000,72.3,84.78,False,False
Academic,B,Female,Very Interested,Rural,54,5790000,94.9,86.6,True,True
Academic,A,Male,Interested,Urban,56,5280000,65.6,88.94,False,False
Academic,A,Male,Very Interested,Urban,51,4440000,59.3,84.45,False,False
Academic,A,Male,Uncertain,Urban,54,4940000,100.1,83.52,False,True
Academic,A,Male,Less Interested,Urban,59,3720000,60.7,84.44,False,False
Vocational,B,Female,Very Interested,Rural,46,5920000,90.3,81.98,True,False
Academic,A,Male,Very Interested,Urban,53,4840000,87.7,89.03,False,True
Vocational,A,Female,Very Interested,Rural,50,5470000,67.2,80.9,False,False
Vocational,B,Male,Less Interested,Rural,48,7640000,64.2,86.93,True,True
Vocational,B,Male,Uncertain,Rural,49,5810000,89.5,87.68,True,False
Vocational,B,Male,Uncertain,Rural,48,6280000,72.4,85.15,True,False
Vocational,A,Female,Very Interested,Urban,54,6010000,80.1,87.39,False,True
Vocational,A,Female,Uncertain,Urban,56,4250000,75.9,84.35,False,False
Academic,A,Female,Very Interested,Urban,52,5320000,65.7,85.39,False,True
Academic,A,Male,Less Interested,Urban,54,7260000,92.8,89.07,False,True
Academic,B,Male,Very Interested,Urban,51,4970000,87.8,89.41,True,True
Vocational,B,Female,Not Interested,Rural,50,3010000,76.7,82.93,True,False
Academic,A,Female,Very Interested,Urban,52,8020000,68.5,83.64,False,True
Academic,B,Female,Uncertain,Urban,64,3860000,86.1,85.28,False,True
Academic,A,Female,Very Interested,Urban,52,5980000,72.0,87.66,False,True
Academic,A,Male,Very Interested,Urban,57,6540000,60.1,85.58,False,False
Vocational,B,Female,Uncertain,Urban,50,7550000,75.6,89.39,False,True
Vocational,A,Female,Uncertain,Urban,53,4330000,63.3,91.09,False,True
Academic,B,Male,Uncertain,Urban,51,4170000,83.8,90.96,True,True
Academic,B,Female,Uncertain,Urban,53,5730000,86.5,83.84,True,True
Academic,B,Male,Uncertain,Urban,48,6090000,68.7,90.83,True,True
Academic,B,Female,Very Interested,Rural,53,6140000,79.7,92.76,True,True
Vocational,A,Male,Uncertain,Rural,51,6040000,71.9,88.74,True,True
Vocational,B,Female,Uncertain,Urban,54,6580000,66.2,88.54,True,True
Vocational,B,Male,Not Interested,Urban,53,5190000,59.9,92.69,True,True
Academic,B,Male,Uncertain,Urban,53,6150000,83.9,91.02,True,True
Academic,A,Male,Uncertain,Rural,51,3510000,78.3,83.9,True,False
Academic,B,Female,Uncertain,Urban,52,8080000,67.8,87.39,False,True
Vocational,B,Male,Uncertain,Urban,58,4540000,63.6,84.63,False,False
Academic,B,Male,Less Interested,Urban,56,4560000,64.1,87.81,False,False
Vocational,B,Female,Not Interested,Rural,52,8400000,76.1,91.53,True,True
Academic,B,Female,Very Interested,Rural,52,7960000,88.2,93.35,True,True
Academic,A,Male,Less Interested,Urban,57,3830000,89.3,84.92,False,True
Vocational,A,Female,Less Interested,Urban,55,5110000,99.3,86.1,False,True
Vocational,A,Male,Interested,Urban,52,5230000,33.4,81.13,False,False
Vocational,B,Female,Uncertain,Rural,50,6290000,91.3,87.52,True,False
Academic,A,Female,Less Interested,Rural,51,5350000,47.4,82.61,True,False
Academic,B,Female,Very Interested,Urban,54,6570000,83.3,89.42,False,True
Vocational,A,Male,Very Interested,Urban,53,6410000,74.8,85.65,False,True
Academic,B,Female,Uncertain,Rural,48,6750000,91.0,85.01,True,True
Academic,B,Male,Uncertain,Urban,52,6200000,67.8,88.72,True,True
Academic,B,Male,Uncertain,Rural,50,2810000,80.5,85.62,True,False
Vocational,B,Male,Less Interested,Urban,56,5550000,91.3,86.02,False,True
Vocational,A,Female,Less Interested,Urban,61,4230000,81.5,84.39,False,True
Vocational,B,Male,Interested,Urban,50,4160000,47.5,81.8,True,False
Academic,B,Male,Uncertain,Rural,50,7880000,93.0,96.1,True,True
Academic,B,Female,Very Interested,Urban,56,6070000,71.3,86.86,False,True
Academic,A,Male,Not Interested,Rural,49,2600000,100.8,88.86,True,False
Academic,B,Female,Less Interested,Urban,46,2730000,62.4,83.08,True,False
Academic,A,Male,Interested,Urban,52,4920000,41.8,81.64,False,False
Vocational,B,Female,Less Interested,Rural,54,6160000,103.5,88.91,True,True
Vocational,A,Female,Uncertain,Rural,43,7090000,59.5,84.19,True,False
Academic,B,Male,Very Interested,Urban,54,6060000,86.3,86.55,True,True
Vocational,A,Male,Very Interested,Urban,58,4410000,80.7,85.44,False,True
Academic,A,Male,Less Interested,Urban,53,3340000,86.1,90.01,False,True
Vocational,B,Male,Uncertain,Rural,48,5280000,78.8,82.24,True,False
Vocational,B,Female,Interested,Urban,50,5680000,20.4,80.57,True,False
Academic,B,Male,Less Interested,Urban,53,6140000,76.2,84.33,False,False
Academic,B,Female,Uncertain,Urban,50,2160000,78.4,83.17,True,False
Academic,A,Male,Less Interested,Urban,57,3040000,72.3,84.79,False,False
Academic,B,Female,Not Interested,Rural,49,6340000,77.3,92.68,True,True
Vocational,A,Male,Very Interested,Urban,54,5510000,58.2,84.89,False,True
Vocational,A,Male,Uncertain,Rural,49,6680000,79.3,87.67,True,True
Academic,A,Male,Uncertain,Rural,47,3040000,85.3,85.93,True,False
Academic,A,Female,Uncertain,Urban,52,5040000,65.5,88.37,True,True
Academic,B,Female,Uncertain,Rural,48,6710000,90.7,85.78,True,True
Academic,A,Female,Interested,Urban,54,5370000,38.0,82.7,False,False
Academic,B,Male,Uncertain,Rural,52,5060000,87.3,93.89,True,True
Academic,B,Female,Very Interested,Rural,46,3780000,68.6,89.13,True,False
Academic,B,Female,Uncertain,Rural,50,7230000,93.8,89.53,True,True
Vocational,B,Female,Less Interested,Urban,53,6210000,84.3,85.94,True,True
Academic,B,Female,Very Interested,Rural,49,7900000,75.8,90.67,True,True
Academic,A,Female,Less Interested,Urban,56,4120000,67.0,86.6,False,False
Vocational,A,Female,Uncertain,Rural,52,5860000,68.9,89.04,True,True
Academic,A,Female,Less Interested,Rural,51,4760000,87.1,82.36,False,False
Academic,A,Male,Less Interested,Urban,57,2940000,79.7,82.57,False,False
Academic,B,Male,Less Interested,Urban,50,3230000,64.8,86.02,True,False
Academic,B,Male,Very Interested,Urban,50,6740000,71.2,87.64,False,True
Academic,A,Male,Less Interested,Rural,53,5680000,81.3,84.25,False,False
Academic,B,Male,Less Interested,Urban,55,1660000,92.1,88.26,False,False
Academic,B,Female,Less Interested,Urban,54,3210000,106.9,92.85,False,True
Academic,A,Male,Less Interested,Rural,52,5720000,81.7,83.88,False,False
Academic,B,Male,Very Interested,Rural,52,6720000,89.8,88.78,True,True
Academic,A,Female,Uncertain,Urban,58,5060000,62.1,88.85,False,False
Academic,A,Female,Less Interested,Urban,52,3320000,64.6,82.33,False,False
Academic,B,Male,Interested,Urban,60,3540000,64.7,83.03,False,False
Vocational,B,Male,Interested,Urban,52,5290000,41.7,86.38,False,False
Academic,B,Male,Very Interested,Rural,49,7710000,92.3,90.4,True,True
Vocational,B,Male,Uncertain,Urban,55,4730000,69.5,83.84,False,False
Vocational,A,Female,Uncertain,Rural,50,6630000,98.5,89.28,True,True
Vocational,B,Male,Interested,Urban,51,4020000,62.8,88.1,True,False
Vocational,A,Female,Less Interested,Rural,44,8370000,65.3,83.54,False,False
Academic,A,Female,Uncertain,Rural,53,5660000,76.9,89.97,False,True
Academic,A,Male,Very Interested,Rural,51,5460000,80.6,85.23,False,False
Academic,A,Male,Interested,Urban,54,5670000,65.4,81.76,False,False
Academic,A,Female,Less Interested,Urban,46,4980000,47.8,84.72,False,False
Academic,B,Male,Uncertain,Rural,49,6910000,84.6,91.38,True,True
Academic,A,Female,Uncertain,Urban,51,5550000,68.2,87.61,False,True
Vocational,B,Female,Not Interested,Rural,49,5520000,65.3,87.58,True,True
Academic,B,Male,Uncertain,Rural,48,7310000,105.5,87.66,True,True
Academic,A,Female,Uncertain,Rural,53,5390000,47.1,81.0,True,False
Academic,A,Male,Very Interested,Rural,47,5840000,90.2,86.36,True,False
Vocational,B,Female,Not Interested,Rural,55,4450000,77.4,84.93,True,False
Academic,B,Female,Very Interested,Rural,48,3440000,58.3,84.07,True,False
Academic,A,Female,Very Interested,Urban,53,3310000,66.6,83.14,False,False
Vocational,B,Female,Not Interested,Rural,53,4110000,73.2,85.7,True,False
Academic,A,Female,Very Interested,Urban,56,3380000,69.1,84.06,False,False
Vocational,A,Male,Less Interested,Urban,54,6530000,66.6,89.2,False,True
Academic,B,Male,Very Interested,Urban,54,4120000,80.8,92.07,False,True
Vocational,B,Male,Very Interested,Rural,51,5310000,70.9,83.42,True,False
Academic,A,Male,Less Interested,Urban,55,4880000,95.1,90.47,False,True
Academic,B,Female,Less Interested,Urban,55,5780000,85.1,85.9,True,True
Vocational,A,Female,Interested,Urban,47,6410000,20.0,81.46,False,False
Vocational,A,Male,Very Interested,Urban,59,3800000,66.6,82.98,False,False
Academic,A,Male,Interested,Urban,60,3860000,70.5,84.83,False,False
Academic,A,Female,Very Interested,Urban,56,3390000,80.5,84.04,False,False
Academic,B,Male,Less Interested,Rural,47,5100000,40.6,82.32,True,False
Vocational,A,Female,Uncertain,Rural,50,6920000,91.5,90.79,True,True
Academic,B,Female,Very Interested,Urban,55,2920000,67.0,82.93,True,False
Academic,B,Male,Less Interested,Rural,46,4010000,58.5,84.11,True,False
Academic,A,Female,Very Interested,Urban,53,4510000,66.7,87.71,False,False
Vocational,A,Male,Less Interested,Rural,48,5750000,66.9,82.11,False,False
Academic,B,Female,Very Interested,Urban,54,5250000,69.6,84.81,True,True
Vocational,A,Male,Very Interested,Urban,53,4360000,75.2,83.29,False,False
