type_school,school_accreditation,gender,interest,residence,parent_age,parent_salary,house_area,average_grades,parent_was_in_college,will_go_to_college
Academic,A,Male,Very Interested,Urban,51,5440000,85.0,88.79,False,True
Academic,A,Female,Interested,Urban,44,5420000,24.7,81.71,False,False
Academic,A,Female,Interested,Urban,49,7450000,92.6,83.55,False,True
Academic,B,Male,Interested,Urban,56,4030000,64.5,83.68,False,False
Academic,B,Male,Uncertain,Rural,52,5900000,102.9,87.68,True,True
Academic,A,Female,Very Interested,Urban,52,7950000,74.7,86.17,False,True
Vocational,A,Male,Uncertain,Rural,49,5930000,74.6,84.87,True,False
Academic,B,Male,Not Interested,Rural,50,6050000,107.5,85.46,True,True
Academic,A,Male,Very Interested,Rural,55,7780000,86.3,89.5,False,True
Vocational,B,Male,Very Interested,Urban,57,4330000,81.2,82.95,True,False
Academic,B,Female,Less Interested,Urban,49,3860000,60.3,85.07,True,False
Vocational,B,Female,Uncertain,Rural,56,4750000,86.6,84.93,True,False
Academic,A,Male,Uncertain,Urban,59,5300000,94.2,86.85,False,True
Academic,B,Female,Uncertain,Rural,55,7450000,86.3,93.78,True,True
Academic,B,Male,Less Interested,Urban,54,7130000,60.6,86.85,True,True
Vocational,B,Female,Not Interested,Urban,52,5080000,61.8,80.34,False,True
Vocational,B,Male,Very Interested,Urban,55,5050000,74.3,84.06,False,True
Vocational,B,Male,Not Interested,Rural,45,6580000,67.0,83.02,True,False
Vocational,A,Female,Less Interested,Urban,53,5950000,90.8,85.41,True,True
Academic,B,Male,Uncertain,Urban,57,5360000,92.3,86.79,True,True
Vocational,B,Female,Interested,Urban,59,5360000,71.8,87.23,False,True
Academic,B,Male,Very Interested,Rural,52,5670000,82.6,85.57,False,False
Academic,B,Male,Very Interested,Rural,52,7410000,74.9,89.39,True,True
Academic,B,Female,Very Interested,Rural,52,5240000,100.0,91.65,True,True
Academic,A,Male,Interested,Urban,54,3940000,101.1,88.07,False,True
Academic,A,Male,Uncertain,Rural,51,8100000,74.6,86.33,False,True
Academic,B,Female,Very Interested,Rural,49,7670000,97.1,90.52,True,True
Vocational,B,Female,Uncertain,Rural,43,6820000,81.1,86.44,True,False
Vocational,A,Female,Very Interested,Urban,50,5310000,67.3,84.31,False,False
Vocational,B,Female,Uncertain,Rural,53,3540000,113.2,86.0,True,False
Vocational,A,Female,Very Interested,Urban,52,5520000,82.5,84.59,False,True
Academic,A,Male,Uncertain,Rural,52,7510000,64.9,87.24,False,True
Academic,B,Female,Uncertain,Rural,53,6410000,93.8,92.66,True,True
Academic,B,Female,Uncertain,Rural,50,7620000,80.1,90.52,True,True
Academic,A,Male,Very Interested,Urban,49,4210000,52.4,81.59,True,False
Academic,A,Female,Very Interested,Urban,54,7790000,70.0,84.72,False,True
Vocational,A,Male,Very Interested,Urban,52,5330000,96.2,83.34,False,True
Vocational,A,Male,Uncertain,Urban,53,6210000,54.8,86.59,False,False
Academic,A,Male,Very Interested,Rural,46,4900000,51.6,82.62,True,False
Academic,A,Male,Less Interested,Rural,51,4650000,53.9,84.06,True,False
Academic,A,Male,Less Interested,Rural,52,6630000,66.8,85.3,False,False
Vocational,A,Male,Very Interested,Urban,52,6270000,60.8,84.34,False,False
Academic,A,Male,Interested,Urban,56,5400000,97.7,83.17,False,True
Vocational,B,Female,Not Interested,Rural,49,6700000,89.3,88.44,True,True
Academic,A,Female,Very Interested,Urban,53,4470000,85.2,86.66,False,True
Vocational,B,Male,Very Interested,Rural,48,6440000,71.1,83.05,True,False
Academic,B,Male,Interested,Urban,52,4310000,53.7,87.21,False,False
Academic,B,Male,Less Interested,Urban,57,5080000,88.1,83.57,False,False
Vocational,A,Female,Not Interested,Rural,48,5840000,63.8,85.97,True,False
Academic,B,Male,Very Interested,Urban,50,4780000,105.7,92.31,False,True
Academic,B,Male,Less Interested,Urban,53,3520000,105.1,93.72,True,True
Academic,B,Female,Less Interested,Urban,56,3540000,73.1,86.28,False,False
Academic,A,Female,Less Interested,Urban,58,4480000,69.5,86.43,False,False
Vocational,B,Female,Not Interested,Rural,50,5520000,74.2,86.74,True,False
Academic,A,Male,Interested,Urban,52,3340000,56.3,81.99,False,False
Academic,A,Male,Very Interested,Rural,50,4740000,56.7,84.02,True,False
Vocational,A,Female,Uncertain,Urban,59,3340000,53.4,83.04,False,False
Academic,A,Male,Very Interested,Urban,54,5270000,72.7,85.47,False,False
Academic,B,Male,Very Interested,Urban,50,6710000,71.2,89.82,True,True
Academic,B,Female,Less Interested,Urban,56,3780000,74.5,78.94,False,False
Vocational,A,Male,Interested,Urban,57,6170000,67.0,92.25,False,True
Academic,B,Female,Interested,Rural,44,5180000,41.1,83.52,True,False
Academic,B,Female,Less Interested,Urban,47,3950000,50.8,82.67,True,False
Academic,A,Female,Less Interested,Urban,53,4900000,100.5,90.21,False,True
Academic,A,Male,Less Interested,Rural,49,5420000,38.0,83.59,True,False
Academic,B,Male,Uncertain,Rural,54,2590000,84.5,95.94,True,True
Academic,A,Male,Very Interested,Urban,52,4160000,69.1,86.14,False,True
Academic,A,Male,Very Interested,Rural,54,5900000,77.2,86.64,False,False
Vocational,A,Female,Very Interested,Rural,49,6710000,63.8,86.82,True,True
Vocational,B,Male,Uncertain,Rural,46,5240000,87.2,84.53,True,False
Academic,B,Male,Less Interested,Rural,47,6690000,80.4,84.3,True,False
Academic,A,Female,Very Interested,Rural,52,3490000,88.3,92.8,True,True
Vocational,A,Female,Very Interested,Urban,53,6150000,54.4,85.46,False,True
Academic,B,Female,Very Interested,Urban,52,7330000,77.9,87.5,False,True
Academic,B,Male,Uncertain,Urban,53,6700000,64.9,89.67,True,True
Academic,B,Male,Not Interested,Rural,48,3320000,72.8,83.63,True,False
Academic,B,Female,Uncertain,Rural,49,6740000,77.2,87.0,True,True
Vocational,B,Male,Uncertain,Rural,45,7390000,103.7,85.24,True,True
Academic,B,Male,Uncertain,Rural,49,6460000,83.8,92.05,True,True
Vocational,B,Female,Very Interested,Urban,56,4490000,69.7,81.34,False,False
Academic,A,Male,Less Interested,Rural,51,6340000,74.3,83.96,False,False
Academic,A,Male,Less Interested,Urban,55,3390000,101.7,90.28,False,True
Academic,B,Female,Less Interested,Urban,53,2940000,73.3,85.82,False,False
Academic,A,Female,Very Interested,Rural,47,2990000,73.8,82.29,False,False
Vocational,B,Male,Not Interested,Rural,53,4060000,84.7,84.0,True,False
Academic,B,Female,Uncertain,Rural,50,7000000,82.7,89.66,True,True
Academic,A,Male,Uncertain,Rural,52,5940000,83.8,85.34,True,True
Vocational,A,Male,Not Interested,Rural,53,7460000,58.2,90.95,True,True
Vocational,B,Male,Uncertain,Rural,55,4280000,85.5,85.42,True,False
Academic,B,Male,Very Interested,Urban,52,4390000,89.0,91.4,True,True
Vocational,B,Female,Uncertain,Rural,50,4930000,86.1,91.88,True,True
Academic,B,Male,Less Interested,Urban,49,4380000,49.8,82.47,True,False
Academic,B,Female,Very Interested,Rural,49,7460000,78.0,87.39,False,True
Academic,B,Male,Less Interested,Urban,54,4630000,53.9,84.99,True,False
Academic,A,Female,Less Interested,Urban,52,4450000,42.2,81.83,False,False
Academic,A,Male,Less Interested,Urban,55,5690000,82.7,85.89,False,True
Academic,B,Female,Uncertain,Rural,54,8010000,74.4,90.43,True,True
Vocational,B,Male,Very Interested,Rural,51,6370000,82.5,89.31,True,True
Academic,A,Male,Less Interested,Urban,54,4920000,85.3,88.31,False,True
Academic,A,Male,Very Interested,Urban,55,6140000,70.7,87.19,False,True
Vocational,A,Female,Uncertain,Rural,53,6400000,90.4,88.57,True,True
Academic,B,Female,Less Interested,Urban,59,5210000,86.7,87.0,True,True
Vocational,A,Female,Uncertain,Urban,58,2830000,87.9,75.0,False,True
Academic,B,Female,Uncertain,Urban,50,3570000,75.0,91.15,True,True
Academic,A,Male,Less Interested,Urban,53,3130000,60.6,81.2,False,False
Academic,A,Male,Very Interested,Urban,53,7590000,83.9,88.84,False,True
Vocational,B,Female,Interested,Urban,54,3580000,58.7,85.99,False,False
Vocational,B,Female,Not Interested,Rural,50,6140000,87.4,86.19,True,False
Academic,B,Female,Less Interested,Rural,52,4720000,95.7,83.01,True,False
Vocational,B,Female,Very Interested,Rural,49,7170000,74.8,87.19,True,True
Academic,B,Female,Very Interested,Urban,49,6910000,71.6,87.47,False,True
Vocational,A,Male,Uncertain,Urban,53,5650000,67.4,86.74,False,False
Academic,B,Female,Not Interested,Rural,44,7790000,85.3,85.73,True,True
Academic,A,Male,Less Interested,Urban,65,4360000,65.7,86.55,False,False
Vocational,B,Male,Less Interested,Rural,51,6710000,75.3,84.86,True,True
Vocational,B,Female,Uncertain,Rural,51,5770000,75.8,86.01,True,False
Academic,B,Male,Very Interested,Rural,54,4170000,101.9,95.23,True,True
Academic,A,Male,Uncertain,Rural,53,4840000,57.3,83.28,True,False
Vocational,A,Male,Uncertain,Rural,53,5400000,67.2,86.03,False,False
Academic,A,Male,Less Interested,Urban,54,6240000,71.8,82.63,False,True
Vocational,A,Male,Not Interested,Rural,54,5760000,79.3,90.97,True,False
Academic,A,Female,Less Interested,Urban,53,4630000,55.1,85.19,False,False
Vocational,A,Male,Less Interested,Rural,51,7320000,68.3,87.02,False,True
Academic,B,Male,Very Interested,Urban,52,6160000,85.4,86.57,True,True
Vocational,B,Female,Not Interested,Rural,53,4720000,66.6,84.71,True,False
Academic,B,Female,Uncertain,Urban,52,6110000,59.2,84.44,True,True
Vocational,A,Female,Uncertain,Urban,55,4250000,57.2,78.83,False,True
Vocational,A,Female,Uncertain,Rural,54,4900000,81.4,86.47,True,False
Academic,B,Male,Uncertain,Urban,55,5050000,81.2,83.36,False,True
Vocational,B,Male,Uncertain,Rural,53,5960000,83.8,92.85,True,True
Academic,A,Female,Very Interested,Rural,50,7030000,78.7,86.54,True,True
Vocational,B,Female,Interested,Urban,48,5780000,37.1,84.21,True,False
Vocational,B,Female,Very Interested,Urban,56,4210000,42.9,80.56,False,True
Academic,A,Male,Less Interested,Urban,53,6550000,84.7,84.39,False,True
Vocational,B,Male,Very Interested,Rural,50,5870000,86.5,85.51,True,False
Vocational,A,Female,Very Interested,Rural,49,7010000,73.3,84.9,True,False
Academic,B,Female,Not Interested,Rural,50,4920000,113.1,82.93,True,True
Vocational,B,Female,Interested,Urban,53,4010000,55.4,85.31,True,False
Academic,A,Female,Uncertain,Rural,49,2570000,73.1,83.07,True,False
Vocational,A,Male,Very Interested,Urban,53,6010000,53.4,84.68,False,False
Vocational,B,Male,Very Interested,Urban,54,5790000,89.8,85.89,True,True
Academic,B,Female,Uncertain,Rural,51,6470000,77.0,92.25,True,True
Vocational,A,Male,Very Interested,Urban,54,5020000,76.5,83.05,False,True
Academic,B,Female,Not Interested,Urban,54,5150000,74.7,81.05,True,True
Academic,B,Female,Uncertain,Rural,51,7050000,85.2,91.49,True,True
Academic,B,Female,Interested,Urban,47,4070000,41.4,80.99,True,False
Academic,A,Male,Interested,Urban,57,4130000,60.4,85.23,False,False
Academic,B,Male,Very Interested,Rural,47,5140000,49.7,86.29,True,False
Academic,B,Female,Less Interested,Rural,50,4490000,60.0,85.95,True,False
Vocational,B,Female,Less Interested,Rural,45,7420000,76.3,88.58,True,True
Academic,A,Female,Less Interested,Rural,50,7580000,84.9,86.8,False,False
Vocational,A,Male,Very Interested,Rural,42,7530000,67.7,84.76,False,False
Vocational,B,Female,Uncertain,Rural,51,5510000,87.6,83.9,True,False
Academic,A,Male,Uncertain,Urban,49,7330000,67.2,83.64,False,True
Academic,A,Male,Very Interested,Urban,54,6190000,98.3,89.27,False,True
Vocational,A,Male,Very Interested,Urban,53,6320000,70.5,86.19,True,True
Academic,A,Male,Less Interested,Urban,54,5550000,93.3,88.71,False,True
Academic,A,Female,Very Interested,Urban,56,5240000,85.9,91.0,False,True
Vocational,B,Male,Less Interested,Rural,52,4230000,60.3,84.6,True,False
Vocational,A,Male,Less Interested,Urban,60,5070000,81.2,85.97,False,True
Vocational,B,Male,Very Interested,Rural,52,6640000,81.8,87.7,True,True
Academic,B,Female,Uncertain,Rural,52,6010000,87.8,92.03,True,True
Vocational,A,Female,Uncertain,Urban,55,4190000,54.4,81.77,False,True
Vocational,B,Female,Interested,Urban,52,4960000,36.0,82.5,True,False
Vocational,A,Male,Interested,Urban,59,3630000,56.2,82.44,False,False
Academic,A,Female,Less Interested,Rural,49,7390000,68.7,84.66,False,False
Academic,B,Female,Uncertain,Rural,50,5640000,87.6,92.45,True,True
Academic,A,Male,Less Interested,Urban,55,5180000,61.3,88.02,False,False
Vocational,A,Male,Very Interested,Urban,56,3350000,87.4,93.45,True,True
Academic,B,Female,Uncertain,Rural,45,6270000,71.0,89.08,True,True
Academic,A,Male,Uncertain,Urban,51,7650000,64.2,87.03,False,True
Vocational,B,Male,Uncertain,Rural,52,6120000,65.8,84.55,True,False
Academic,A,Female,Less Interested,Urban,56,5330000,82.2,88.85,False,True
Vocational,B,Male,Not Interested,Rural,49,4960000,81.7,85.37,True,False
Vocational,A,Male,Less Interested,Rural,47,8930000,40.9,89.86,True,True
Academic,B,Male,Interested,Urban,54,3940000,65.1,84.12,False,False
Academic,B,Male,Uncertain,Rural,52,6660000,79.2,90.19,True,True
Vocational,A,Female,Uncertain,Rural,56,5850000,101.6,88.16,False,True
Academic,B,Female,Less Interested,Urban,56,5760000,89.9,85.93,False,True
Academic,B,Female,Not Interested,Urban,57,4760000,85.5,85.13,False,True
Academic,B,Male,Very Interested,Rural,52,3210000,83.0,89.02,True,False
Academic,A,Female,Very Interested,Urban,52,6290000,63.0,85.61,False,True
Vocational,A,Male,Uncertain,Urban,55,5410000,56.2,83.48,False,True
Vocational,B,Male,Very Interested,Urban,55,4250000,68.6,81.93,False,False
Academic,B,Male,Not Interested,Rural,49,5340000,80.4,94.06,True,True
Academic,B,Female,Very Interested,Rural,50,5950000,99.9,83.64,True,True
Academic,A,Male,Interested,Urban,55,5120000,99.0,87.08,False,True
Vocational,B,Female,Uncertain,Rural,44,6240000,77.6,83.2,True,False
Vocational,A,Female,Very Interested,Urban,53,5470000,76.0,82.55,False,True
Academic,A,Male,Interested,Urban,60,5830000,63.4,80.4,False,False
Academic,A,Male,Interested,Urban,54,6500000,57.0,82.37,False,False
Vocational,A,Male,Interested,Rural,45,7370000,79.2,86.31,True,True
Academic,B,Male,Very Interested,Urban,53,6280000,62.1,85.02,True,True
Academic,B,Female,Very Interested,Rural,50,7500000,88.2,88.13,True,True
Academic,A,Male,Less Interested,Rural,49,6770000,81.0,83.7,False,False
Vocational,B,Female,Interested,Urban,53,4060000,62.8,88.07,False,False
Academic,B,Male,Very Interested,Urban,53,6690000,80.0,86.77,False,True
Academic,B,Male,Less Interested,Urban,53,3930000,60.9,84.01,True,False
Academic,A,Female,Less Interested,Urban,58,4990000,48.8,81.6,False,False
Vocational,A,Female,Uncertain,Rural,50,6230000,85.4,82.26,True,True
Academic,A,Male,Very Interested,Urban,54,6360000,77.6,87.66,True,True
Academic,A,Female,Less Interested,Urban,62,5220000,53.0,84.32,False,False
Vocational,A,Male,Uncertain,Urban,52,4210000,66.9,83.8,False,False
Academic,B,Female,Very Interested,Rural,49,6280000,96.4,89.97,True,True
Vocational,B,Male,Uncertain,Rural,54,4870000,80.6,84.42,False,False
Academic,A,Female,Very Interested,Urban,55,5520000,89.1,92.89,False,True
Academic,B,Female,Very Interested,Urban,51,3620000,92.2,91.98,True,True
Academic,B,Female,Interested,Urban,44,5900000,27.8,82.69,True,False
Vocational,A,Female,Very Interested,Urban,53,5750000,68.8,83.53,False,True
Academic,A,Female,Very Interested,Urban,54,5750000,61.3,84.85,False,False
Vocational,A,Female,Interested,Rural,51,7210000,91.9,89.11,True,True
Academic,B,Male,Interested,Urban,54,3710000,65.7,85.09,False,False
Vocational,B,Female,Not Interested,Rural,54,3720000,85.3,84.64,True,False
Vocational,B,Male,Very Interested,Rural,51,4870000,92.1,81.69,True,False
Academic,A,Female,Less Interested,Urban,53,5910000,82.0,87.67,False,True
Vocational,B,Female,Not Interested,Rural,49,4910000,68.7,84.64,True,False
Academic,B,Female,Less Interested,Urban,58,3650000,64.6,84.14,False,False
Vocational,A,Female,Uncertain,Urban,54,4210000,76.0,91.73,True,True
Academic,B,Female,Very Interested,Urban,49,2560000,70.3,82.51,True,False
Vocational,B,Female,Uncertain,Urban,60,4350000,63.7,83.06,False,False
Vocational,A,Male,Uncertain,Rural,56,5320000,74.8,86.64,True,False
Academic,A,Female,Less Interested,Urban,52,4510000,93.1,87.48,False,True
Vocational,A,Female,Less Interested,Rural,54,5990000,97.3,89.36,False,True
Academic,A,Male,Less Interested,Urban,54,4410000,48.4,83.68,False,False
Vocational,B,Female,Not Interested,Rural,45,6330000,64.1,83.55,True,False
Vocational,A,Female,Very Interested,Rural,45,8370000,81.7,92.24,True,True
Academic,A,Female,Very Interested,Urban,55,5480000,96.3,91.84,False,True
Vocational,B,Male,Uncertain,Rural,52,6240000,75.5,87.08,True,True
Academic,B,Male,Very Interested,Rural,53,4090000,88.8,84.53,True,False
Vocational,B,Male,Not Interested,Rural,48,5930000,68.7,85.86,True,False
Vocational,A,Male,Uncertain,Urban,55,4970000,73.5,85.76,False,False
Academic,B,Male,Very Interested,Urban,53,5330000,86.6,89.49,False,True
Vocational,B,Male,Very Interested,Rural,49,6920000,66.7,87.04,True,True
Vocational,A,Male,Uncertain,Rural,51,6830000,74.0,86.56,False,False
Vocational,B,Female,Uncertain,Urban,49,6660000,53.1,84.06,True,True
Academic,A,Female,Very Interested,Urban,52,6600000,84.0,88.36,False,True
Vocational,B,Female,Uncertain,Rural,51,6950000,88.4,86.85,True,False
Academic,B,Male,Very Interested,Urban,54,6420000,70.0,84.69,False,True
Academic,A,Female,Uncertain,Urban,58,3840000,63.7,83.59,False,False
Vocational,A,Female,Very Interested,Urban,53,4220000,66.8,80.29,False,False
Academic,B,Male,Uncertain,Rural,48,5130000,89.7,92.55,True,True
Academic,A,Female,Very Interested,Urban,51,8770000,67.4,84.75,False,True
Vocational,A,Male,Not Interested,Rural,51,8550000,61.9,85.36,False,True
Vocational,A,Female,Very Interested,Urban,60,2310000,76.7,75.62,False,True
Academic,B,Male,Uncertain,Rural,51,6330000,69.0,84.5,True,True
Vocational,A,Male,Very Interested,Urban,53,4950000,67.1,82.74,False,True
Academic,B,Female,Less Interested,Urban,55,3020000,67.0,84.86,True,False
Academic,B,Female,Very Interested,Rural,51,4020000,67.1,83.63,True,False
Vocational,A,Female,Uncertain,Rural,53,4190000,79.7,84.57,False,False
Vocational,A,Male,Interested,Urban,61,5170000,43.8,81.97,False,False
Academic,A,Male,Uncertain,Urban,53,7860000,66.2,87.09,False,True
Vocational,A,Male,Uncertain,Rural,52,5660000,64.3,84.54,False,False
Vocational,B,Male,Not Interested,Rural,50,5610000,71.5,87.6,True,False
Academic,B,Female,Very Interested,Urban,53,7980000,91.0,87.5,False,True
Vocational,B,Female,Less Interested,Rural,50,5610000,75.8,81.07,True,False
Vocational,B,Female,Very Interested,Rural,50,6960000,58.2,86.47,True,True
Academic,A,Male,Uncertain,Rural,55,6960000,80.6,94.05,True,True
Vocational,A,Male,Very Interested,Urban,55,5930000,62.7,83.7,False,True
Academic,B,Male,Less Interested,Urban,52,4630000,72.9,81.45,True,False
Academic,A,Male,Uncertain,Urban,52,4370000,75.2,91.38,True,True
Academic,B,Male,Not Interested,Rural,51,6020000,96.0,87.63,True,True
Academic,A,Female,Very Interested,Urban,55,4490000,88.6,89.42,False,True
Academic,B,Female,Very Interested,Rural,54,4320000,86.8,83.17,True,False
Academic,B,Female,Interested,Urban,56,3250000,67.8,83.94,False,False
Academic,B,Male,Uncertain,Rural,57,5780000,99.0,88.61,True,True
Academic,B,Male,Less Interested,Rural,48,5050000,36.5,81.41,True,False
Vocational,B,Male,Interested,Urban,51,4180000,44.0,82.62,False,False
Vocational,A,Male,Uncertain,Rural,55,6060000,90.4,90.41,True,True
Vocational,B,Male,Very Interested,Urban,56,5580000,84.8,86.57,False,True
Academic,B,Male,Uncertain,Rural,47,6530000,82.3,90.77,True,True
Academic,A,Male,Less Interested,Urban,52,6430000,61.2,82.06,False,False
Academic,A,Male,Very Interested,Urban,53,4430000,64.7,84.76,False,False
Academic,B,Male,Very Interested,Urban,57,5430000,93.4,85.5,True,True
Academic,B,Male,Interested,Urban,51,5960000,29.2,82.41,False,False
Vocational,A,Female,Uncertain,Urban,55,5060000,78.1,85.34,False,True
Vocational,A,Male,Less Interested,Urban,56,4800000,74.7,84.59,False,True
Academic,A,Male,Less Interested,Urban,55,6660000,63.3,84.26,False,False
Academic,B,Female,Very Interested,Urban,56,3530000,92.2,83.82,True,False
Academic,A,Female,Less Interested,Urban,51,4650000,43.5,81.18,False,False
Academic,B,Male,Uncertain,Rural,52,3330000,90.0,97.0,True,True
Vocational,B,Female,Very Interested,Rural,50,5430000,91.9,81.08,True,True
Vocational,A,Female,Uncertain,Urban,54,4760000,46.7,80.18,False,True
Academic,A,Male,Less Interested,Rural,54,3540000,77.3,85.13,True,False
Academic,A,Female,Very Interested,Urban,54,3060000,70.7,81.65,False,False
Academic,B,Male,Interested,Urban,54,3900000,64.1,84.7,False,False
Academic,B,Male,Uncertain,Urban,60,2650000,84.1,86.61,True,False
Academic,A,Female,Very Interested,Urban,52,3420000,74.5,86.56,False,False
Academic,B,Male,Very Interested,Urban,52,2000000,80.0,84.03,True,False
Vocational,A,Male,Very Interested,Rural,52,5150000,98.0,84.49,False,True
Vocational,B,Female,Uncertain,Rural,50,4410000,76.4,82.89,True,False
Academic,B,Female,Less Interested,Urban,52,2460000,69.4,82.27,False,False
Academic,A,Female,Less Interested,Urban,55,5030000,98.0,87.12,False,True
Vocational,B,Male,Uncertain,Rural,55,4810000,88.4,93.87,True,True
Vocational,A,Male,Not Interested,Rural,49,4070000,62.7,84.15,True,False
Academic,A,Male,Less Interested,Urban,55,5640000,57.1,82.91,False,False
Academic,A,Female,Uncertain,Urban,52,5360000,75.0,88.84,True,True
Vocational,B,Male,Very Interested,Rural,51,4660000,83.4,80.42,True,False
Academic,B,Female,Very Interested,Rural,45,3090000,69.5,81.73,True,False
Vocational,A,Male,Interested,Urban,56,5760000,85.0,86.68,False,True
Academic,A,Female,Very Interested,Urban,57,6570000,60.0,87.87,False,False
Vocational,A,Male,Very Interested,Rural,50,5700000,78.8,83.35,False,False
Academic,B,Female,Uncertain,Rural,50,7090000,80.1,89.82,True,True
Vocational,A,Female,Uncertain,Urban,52,4180000,94.6,79.11,False,True
Vocational,B,Female,Not Interested,Rural,51,6630000,62.5,90.62,True,True
Academic,B,Male,Uncertain,Urban,53,5920000,63.7,87.52,True,True
Academic,B,Male,Very Interested,Rural,55,8260000,91.1,88.25,True,True
Vocational,A,Female,Very Interested,Urban,57,4560000,85.9,83.55,False,True
Academic,B,Male,Uncertain,Urban,51,5120000,64.0,91.73,False,True
Academic,B,Male,Less Interested,Urban,53,1000000,107.1,90.28,False,True
Academic,B,Male,Very Interested,Urban,53,5700000,98.1,89.1,True,True
Vocational,B,Male,Uncertain,Rural,47,5120000,82.0,82.1,True,False
Academic,B,Male,Very Interested,Urban,56,3850000,60.9,82.33,True,False
Academic,A,Female,Very Interested,Urban,51,6540000,64.4,85.98,False,True
Academic,A,Female,Less Interested,Urban,57,4850000,93.8,86.85,False,True
Academic,A,Female,Less Interested,Rural,52,5110000,54.8,84.5,True,False
Academic,B,Male,Not Interested,Urban,52,5180000,78.4,81.06,True,True
Academic,A,Male,Very Interested,Urban,51,5510000,76.8,85.52,False,False
Vocational,A,Female,Very Interested,Rural,49,6370000,70.7,85.3,True,True
Vocational,B,Male,Uncertain,Rural,48,6900000,59.6,85.14,True,False
Academic,A,Male,Interested,Urban,57,4470000,57.2,87.19,False,False
Vocational,A,Female,Less Interested,Rural,53,6450000,90.7,87.66,True,True
Academic,A,Female,Less Interested,Urban,61,3680000,60.9,80.63,False,False
Vocational,B,Male,Not Interested,Rural,47,4690000,93.6,88.2,True,False
Academic,A,Female,Less Interested,Urban,54,7470000,78.6,86.38,False,True
Vocational,B,Male,Very Interested,Rural,49,6000000,71.9,84.58,True,False
Academic,A,Female,Less Interested,Urban,54,6500000,99.7,89.59,False,True
Academic,B,Female,Very Interested,Rural,51,6910000,74.2,86.87,True,True
Academic,B,Female,Less Interested,Urban,53,3770000,65.1,85.27,True,False
Academic,B,Male,Very Interested,Rural,53,5000000,50.8,84.54,True,False
Academic,B,Female,Less Interested,Urban,52,3270000,65.0,85.16,False,False
Vocational,A,Female,Very Interested,Rural,49,7420000,63.6,85.99,True,True
Academic,B,Female,Less Interested,Rural,51,7480000,84.3,89.72,True,True
Vocational,A,Male,Less Interested,Urban,49,5550000,75.2,79.56,False,True
Academic,B,Male,Uncertain,Rural,53,5840000,105.8,87.18,True,True
Academic,B,Male,Interested,Urban,50,2940000,69.1,86.13,True,False
