Age,Gender,EducationLevel,ExperienceYears,PreviousCompanies,DistanceFromCompany,InterviewScore,SkillScore,PersonalityScore,RecruitmentStrategy,HiringDecision
26,1,2,0,3,26.783827553853655,48,78,91,1,1
39,1,4,12,3,25.8626943295439,35,68,80,2,1
48,0,2,3,2,9.920804828174788,20,67,13,2,0
34,1,2,5,2,6.407750728667837,36,27,70,3,0
30,0,1,6,1,43.10534312417558,23,52,85,2,0
27,0,3,14,4,31.706658809375902,54,50,50,1,1
48,0,2,6,1,17.291229200972435,24,52,64,3,0
40,0,4,13,3,10.586810869513323,6,3,92,3,0
26,1,3,6,5,28.774864008481572,80,78,51,1,1
45,1,2,2,5,30.195964463056768,92,16,94,3,0
38,1,1,15,2,11.349680062252908,93,66,29,2,0
42,0,3,5,5,43.5702873945737,70,73,56,2,0
30,0,3,12,5,5.2132183077925545,96,46,78,3,1
30,0,1,7,5,18.804654258321083,70,55,81,2,0
43,1,2,3,3,35.019220688126104,23,22,98,1,0
40,0,3,12,5,14.706018190960034,10,17,29,2,0
23,1,1,7,5,42.38375973906359,72,0,97,2,0
27,1,4,1,5,37.993391330020174,11,34,41,1,0
43,1,2,14,1,40.45114222740671,34,63,10,2,0
22,1,1,9,3,6.955326793835813,62,57,26,2,0
41,1,3,8,2,8.027356399777146,67,94,23,2,0
40,1,2,8,1,15.323686887229181,99,58,98,2,1
21,0,2,7,4,26.903858259878053,91,0,38,3,0
43,0,1,9,3,38.40080383497012,56,2,71,2,0
31,1,1,13,3,42.82654453804518,12,66,17,2,0
49,1,2,12,4,36.216765797859026,22,36,76,1,1
25,0,2,9,4,47.429844076531914,82,82,44,2,0
21,1,2,0,4,37.93717548079651,100,28,87,3,0
47,1,3,1,2,16.313394350230737,38,88,86,2,0
40,0,2,5,5,14.25406421692863,87,32,11,2,0
20,1,1,9,3,35.80962251505449,79,99,48,2,0
31,1,2,4,5,10.643528434480714,96,60,93,2,0
45,1,4,11,5,5.635740540513495,11,92,30,1,1
41,0,3,13,4,27.611143742809695,33,89,91,3,1
48,0,2,8,2,42.082078488947765,70,3,21,1,0
31,0,2,4,1,6.068992123493176,74,13,43,2,0
44,1,2,1,2,40.59456618978646,30,90,91,2,0
36,1,3,9,5,41.5786002175774,92,32,63,2,1
46,0,3,3,2,25.113700004077177,61,21,76,1,1
46,1,2,8,4,3.8655155005243405,12,47,24,2,0
50,1,3,0,1,9.72949256235932,30,2,50,1,0
29,1,3,10,4,36.37131375809662,1,86,6,1,1
47,1,1,0,1,36.58889724954747,14,84,5,2,0
47,1,2,11,5,45.917763758383266,56,22,23,2,0
35,0,1,6,1,30.134307327729143,74,67,18,1,1
34,1,2,10,1,7.205368385688869,33,20,82,1,1
49,0,3,2,1,7.070745275248607,67,100,99,3,0
49,1,2,9,2,37.05661786784118,74,42,8,3,0
34,0,2,1,2,10.189233255395058,28,94,35,1,0
49,1,1,8,5,17.419274980830266,65,84,39,2,0
38,0,2,2,1,25.360600346095694,15,25,92,2,0
31,1,2,15,3,2.23824387880756,38,40,23,2,0
42,0,2,1,5,13.440951350996594,76,98,47,3,0
39,1,2,11,1,21.394480425364,36,37,62,1,1
44,0,2,7,1,14.981815924660312,80,87,68,2,1
22,1,2,9,2,7.818516373378292,20,10,52,2,0
24,0,1,5,5,37.40061288980987,43,28,53,2,0
38,0,1,5,1,41.657382758399244,18,59,41,2,0
26,1,2,9,1,13.873948807186242,70,66,44,3,0
40,1,2,10,5,39.72097473031516,7,64,89,1,1
28,0,2,6,3,20.27767822006569,76,60,13,1,1
26,1,2,6,5,26.33428954270014,100,18,28,1,1
37,0,2,10,5,43.80005374465764,65,45,5,3,0
23,0,3,12,3,38.497684090120394,40,48,6,2,0
44,0,1,14,5,41.255842565808884,74,21,36,2,0
47,1,2,5,1,7.842258329317841,87,77,52,1,1
33,0,3,3,5,4.485971291686473,69,56,17,3,0
37,0,2,10,3,45.67023645439935,60,13,86,3,0
45,1,2,8,4,20.391713478554717,25,43,37,2,0
28,1,4,5,5,15.393983903484042,70,15,58,2,0
45,1,3,3,2,37.23481271309122,82,96,0,1,1
40,1,2,11,1,42.82077982899283,69,76,67,2,0
21,0,2,2,1,44.12448109491505,28,11,43,2,0
39,0,2,3,2,16.799857056261366,65,54,46,1,0
47,0,2,2,2,43.6106195600837,18,50,34,2,0
34,0,2,14,5,3.046697218717269,67,38,86,1,1
47,1,2,1,2,3.483074572985944,57,32,90,2,0
26,0,2,13,4,32.17595975870772,69,32,59,2,0
31,0,2,4,3,4.155318455777312,56,28,89,1,0
48,1,3,1,2,17.230458425508075,36,68,51,2,0
27,0,2,5,2,34.6377993123462,60,69,7,2,0
34,0,1,2,4,17.863344802711318,91,30,79,1,1
22,0,2,5,1,9.979989072004797,29,79,40,3,0
33,0,2,14,1,15.067531092692082,70,30,2,1,0
36,0,2,10,5,23.878766612521588,72,88,95,2,1
23,0,2,9,4,24.769292767774118,24,45,68,1,1
37,1,2,8,3,40.150011567360096,96,96,83,1,1
27,1,2,0,3,38.507661471575624,64,76,13,1,0
23,0,1,15,4,23.84089022780676,5,51,95,1,1
21,0,1,15,3,43.28336745493857,17,9,25,2,0
49,1,2,5,1,6.711856929569792,9,87,69,1,1
25,0,2,8,3,13.767667511445074,91,73,57,2,0
41,0,4,10,3,42.398823175112575,10,40,99,1,1
29,0,2,3,4,19.899701931307654,96,94,39,1,1
23,1,2,10,4,50.05907793969211,64,76,50,2,0
41,0,2,11,3,24.31266407639177,76,2,4,3,0
48,1,1,1,2,40.59678114818821,100,58,76,2,0
50,0,4,12,4,21.115352069118597,83,51,31,2,1
37,1,2,3,5,22.24767595312152,64,33,79,1,0
45,1,3,0,5,20.144157364209175,51,48,0,3,0
31,0,1,2,1,36.953781025540586,66,27,76,1,0
21,1,2,9,3,28.375894202999724,81,82,53,1,1
29,0,2,8,2,48.188905568418456,77,86,10,2,0
49,1,3,9,1,13.544515826705238,30,95,52,2,0
23,0,1,4,3,6.028136604172218,90,12,7,3,0
33,0,2,14,4,20.663074254960762,16,96,24,1,1
50,1,4,10,5,31.8356353823388,54,97,39,3,0
35,0,2,5,2,44.03994684577475,92,96,31,2,0
34,0,2,2,5,18.309844334016383,35,68,87,2,0
27,1,1,15,4,33.68933755622308,100,66,27,1,1
33,0,4,4,3,18.509934051160954,25,60,77,1,1
42,0,1,10,4,31.860979149722905,52,59,2,3,0
47,1,3,7,4,45.24039735153254,16,70,99,2,1
44,1,3,5,5,12.567882112970452,85,23,90,2,0
49,0,2,3,2,21.212082105351957,24,62,83,3,0
27,0,2,1,4,50.66325982148733,1,85,78,1,1
40,1,1,13,5,44.42785141247304,85,60,61,2,1
35,1,2,8,2,29.231992894810098,4,22,26,2,0
32,0,3,12,3,26.831379592713766,3,29,44,1,1
37,1,3,11,3,15.23001911523405,35,59,91,1,1
34,0,2,0,1,26.86047138467647,5,17,24,2,0
40,0,2,0,5,43.40907491399736,20,95,60,2,0
43,0,1,12,2,35.25872566388903,76,55,43,2,0
45,0,1,3,4,15.502201408899328,100,52,96,1,1
44,0,1,6,3,11.073196052676646,88,6,45,3,0
47,1,2,0,2,14.260426849841455,25,96,13,1,0
47,1,2,8,5,9.487960069641327,54,68,7,2,0
47,1,2,3,1,5.782034801185797,38,91,47,2,0
32,1,2,2,3,21.95680872210275,83,71,13,1,1
28,0,2,0,2,6.664980219913385,32,78,64,1,1
48,0,2,9,2,9.595627886355217,13,51,79,2,0
34,0,3,3,2,28.366234216974306,55,3,81,3,0
32,0,2,8,5,9.229963684978737,99,33,6,1,1
20,1,4,12,5,4.193988371545142,80,68,78,2,1
44,0,3,13,5,16.86944250139426,20,32,87,2,0
26,0,1,9,4,12.015954931098376,45,68,48,1,1
28,1,3,15,2,26.765259399718836,15,37,54,2,0
43,1,2,15,3,6.118354229160466,15,97,12,3,0
20,1,2,5,5,38.58853938414891,83,25,72,2,0
31,1,2,15,5,46.311675971756934,28,0,55,3,0
27,0,2,5,2,38.17175869780972,91,3,55,1,0
43,0,2,0,5,27.641351870069713,7,38,14,2,0
50,1,2,9,4,44.03339108944426,87,53,56,2,0
30,0,2,1,4,35.74591898907538,2,89,57,2,0
38,0,2,10,5,1.5275561225094927,88,32,34,2,0
36,0,2,5,2,20.704507638725154,18,32,87,1,0
27,1,3,1,2,43.54759497034,96,71,96,2,1
22,0,1,2,2,18.292942898763464,65,19,15,2,0
22,1,2,3,1,2.760758676276175,78,15,7,1,0
20,0,3,10,5,38.308981927613615,85,20,92,3,1
46,0,2,4,2,41.101913514143426,73,44,86,2,0
24,0,1,14,4,9.029684752165428,81,89,44,2,0
29,1,1,8,3,27.86702484215906,21,86,94,1,1
26,0,2,11,3,10.597771949786289,45,81,39,1,1
45,1,4,14,2,36.96172095220734,90,61,53,2,1
28,1,2,14,3,14.577522758874283,12,30,13,2,0
47,1,4,3,3,16.810756128166503,32,41,58,2,0
26,0,2,12,1,43.248542682005066,4,11,93,2,0
28,0,2,10,4,24.816117610345216,89,64,52,1,1
27,0,2,8,4,34.48772256091239,76,72,26,2,0
31,0,2,10,1,21.11865253612338,26,2,46,2,0
21,1,1,9,1,15.90034285968777,77,89,79,2,1
20,1,3,2,3,32.27390302123307,23,8,5,1,0
35,1,3,7,5,8.742878703941063,66,50,54,1,1
42,0,2,11,3,19.64999177834315,62,15,96,2,0
42,1,4,0,1,11.451851869296114,93,87,43,1,1
49,0,3,10,4,35.789748347037275,98,77,17,1,1
43,1,2,8,3,48.21044191730538,47,2,15,1,0
24,0,1,8,5,50.77554840079332,62,97,11,2,0
22,0,2,9,3,23.513840522079537,77,96,19,2,0
31,1,2,1,2,13.626519481822223,11,23,44,2,0
27,1,2,3,3,23.141468519216208,27,72,63,1,1
41,1,1,12,1,43.36347049813619,43,12,58,2,0
46,1,3,7,4,11.300283927601994,92,1,92,1,1
22,0,1,6,4,48.60478258264619,42,70,93,3,0
20,1,2,0,1,18.09328843990755,16,20,89,2,0
22,1,4,4,2,50.29018297251525,39,18,21,2,0
24,1,3,6,1,42.93044437669811,48,88,96,1,1
34,0,2,14,3,41.428526707369514,84,46,46,1,1
33,0,3,15,1,16.895233688664177,56,21,28,2,0
22,1,1,3,1,1.4388605973964732,86,74,85,2,0
20,0,1,14,2,20.106645441299392,83,32,44,1,1
24,1,2,15,3,16.090468483134686,63,31,76,3,0
45,0,2,14,5,2.869849520439865,74,63,8,3,0
42,0,2,0,5,26.268262825296482,56,84,23,2,0
50,0,2,8,4,21.15156556413683,97,38,14,3,0
33,0,1,13,1,32.72782338707624,73,83,35,1,1
26,1,2,4,4,32.059316109704156,73,71,12,1,1
46,1,2,10,2,7.037331794834006,69,41,90,1,1
28,1,3,15,5,49.84827730633113,99,100,43,2,1
34,0,2,1,1,10.346571472072347,87,8,100,1,1
34,1,2,7,2,23.263701238235228,75,24,70,3,0
45,1,2,10,2,25.405877171686747,42,88,71,1,1
29,1,1,12,1,41.653139860706005,22,96,100,2,0
47,0,1,1,2,5.961479804732338,26,1,77,3,0
32,0,3,2,1,22.432213960426587,57,18,75,1,1
38,0,2,13,1,32.425108511810194,36,19,35,1,0
50,1,1,9,3,11.757781081202777,5,92,60,2,0
26,1,2,0,4,32.37339493830364,64,69,80,1,1
36,1,2,10,2,47.18324187748264,5,16,39,1,0
39,0,2,15,2,50.87590655863375,49,88,92,1,1
48,0,2,1,3,2.6225538395337855,21,67,26,2,0
23,1,2,13,3,12.779411412233875,87,93,0,3,0
49,0,2,15,3,16.515355789584873,24,83,33,3,0
24,0,1,6,5,20.956305022248305,78,2,67,1,1
42,0,2,9,5,13.11285787923837,89,86,87,2,1
26,0,3,1,5,11.174399727765627,71,50,20,2,0
32,1,3,5,1,48.727692120875,50,81,32,3,0
34,0,3,14,2,46.92608013852589,87,25,6,1,1
30,0,2,2,4,3.3496250501558738,47,55,64,2,0
48,0,2,3,1,17.940651080242407,69,99,2,2,0
23,0,2,10,2,21.25742768392033,98,63,50,3,0
32,1,2,14,2,12.950726733297168,64,7,78,1,1
26,1,2,12,3,32.44364484940877,59,80,94,1,1
46,0,1,7,3,33.01903733221205,45,94,53,1,1
38,0,2,13,1,43.525211416429855,35,36,79,1,1
41,0,4,2,3,38.04346341926089,57,96,73,2,0
47,0,2,9,2,28.12866634829778,75,26,92,2,0
21,0,1,5,3,33.67933850222099,37,44,58,2,0
29,0,2,0,5,14.699439077150904,10,3,5,1,0
32,1,3,6,3,30.652809498367883,11,85,28,1,1
49,0,2,7,2,25.46136273749596,41,89,16,1,1
44,1,2,10,1,7.66722336581852,38,95,59,1,1
40,1,1,13,4,13.127213829148536,70,87,21,2,0
25,0,2,7,3,15.584672536079301,10,98,23,1,1
47,1,2,2,2,47.2154783526279,35,36,80,1,0
47,1,3,13,4,12.519331969294472,51,95,84,2,1
31,1,2,9,4,15.462195140983408,30,70,50,2,0
31,1,1,0,5,19.467706504471614,32,32,49,2,0
39,1,1,8,4,34.18713693126935,12,30,10,3,0
49,1,1,12,2,6.911919623607026,17,54,55,1,1
49,0,2,5,2,48.6972606246888,40,11,70,2,0
30,1,2,10,3,44.27856100473822,57,10,41,2,0
45,1,2,8,3,29.860803650447508,55,87,38,2,0
42,1,2,6,3,34.701893371247834,23,71,68,3,0
47,0,2,0,4,1.8330235622107995,72,31,47,1,0
44,1,1,11,4,17.947238767422434,30,56,56,2,0
26,0,1,11,5,40.7830115330721,54,37,20,1,0
49,1,3,0,3,4.874148689619295,9,59,81,2,0
20,0,2,5,1,15.11569171053601,59,85,98,2,0
20,0,2,4,5,30.264841416715566,1,97,19,3,0
44,1,3,8,1,13.820651384947091,14,18,14,3,0
46,1,2,1,4,47.69889870722596,2,83,68,2,0
49,0,3,7,5,7.5529315402145185,42,55,76,1,1
44,1,2,10,5,40.86971789538893,30,13,50,2,0
39,0,4,4,2,26.397434595320412,69,32,75,2,0
32,0,1,1,4,38.5165387909978,66,9,61,1,0
28,0,1,12,4,16.535766415572372,55,79,84,2,0
22,0,2,9,5,26.72448011560194,62,63,36,3,0
26,0,4,10,4,43.841767486158815,74,63,5,2,1
25,1,3,10,5,24.34390495615522,14,61,70,2,1
27,0,1,11,2,18.985993095513482,91,67,25,3,0
46,0,2,5,5,27.807769312636804,9,90,7,1,0
28,1,4,9,4,36.868137651818344,37,91,72,1,1
49,0,2,7,4,23.178167274925137,46,42,90,2,0
24,1,3,3,5,47.94384875711365,56,79,3,2,0
20,1,3,1,5,15.747291202117102,49,58,20,2,0
38,1,2,11,5,24.77318030845602,70,51,30,1,1
29,0,2,10,3,38.846382967072074,14,96,20,1,1
31,0,2,4,4,35.45605452478791,17,18,24,1,0
43,0,2,14,4,44.18205262085781,81,20,14,3,0
34,1,3,11,3,50.84045903405544,87,21,34,2,0
46,0,2,1,5,22.34291643975448,1,8,48,2,0
41,1,3,1,2,6.557543989165592,83,8,42,1,1
43,0,1,14,5,2.520794040398399,97,72,40,1,1
28,1,4,5,5,37.343845306988584,42,26,36,2,0
39,0,2,15,3,44.70068356543578,25,16,56,1,0
36,0,1,10,4,12.035629297220934,70,43,41,2,0
49,0,1,9,5,8.922401859495299,37,44,46,2,0
36,1,3,8,4,4.110254576284549,93,7,91,2,1
45,1,2,12,1,42.13514608586032,41,79,60,2,0
39,0,3,3,4,16.569096994629216,4,17,13,2,0
31,0,1,5,2,21.084844637988823,10,32,67,1,0
49,1,1,15,2,26.137509580480614,64,0,52,2,0
26,1,2,6,5,42.97266171047754,33,75,83,2,0
21,1,2,12,4,33.54166107807425,0,5,33,1,0
22,0,2,10,5,31.753231492890563,82,40,75,3,0
36,1,4,5,3,9.783604997795535,1,54,96,1,1
24,0,4,7,2,26.659494585491487,84,4,23,1,1
36,1,4,3,5,36.76905085893276,19,58,19,1,1
43,0,3,11,3,49.66304415152459,60,79,68,3,1
36,1,2,14,5,11.070315460667612,86,17,29,2,0
46,1,2,0,4,1.4771676533613323,20,48,87,2,0
36,1,2,6,4,4.765071679923487,87,81,6,1,1
21,1,3,2,4,19.79262325909896,67,64,35,2,0
21,1,1,13,4,42.02723238729936,11,82,37,2,0
47,0,2,5,1,1.3571040884122523,21,53,79,3,0
41,1,1,1,3,23.836529644292014,19,60,51,1,0
42,1,2,8,3,17.461530767069725,81,7,14,1,1
24,1,3,0,4,3.624085504986379,0,2,45,1,0
20,0,3,5,1,23.511814333630863,29,24,22,3,0
20,1,2,5,4,13.737435366835943,96,68,11,2,0
38,0,4,4,1,18.59424171735032,23,54,92,2,0
49,1,2,15,4,36.28076523921465,13,39,43,2,0
21,1,1,12,2,27.077549195548354,35,82,14,3,0
40,0,2,4,2,7.232371449640667,68,81,92,3,0
31,1,2,0,5,49.07072702118195,74,49,48,2,0
45,0,1,9,4,32.79553828548692,23,94,20,1,1
25,0,4,11,3,39.29342128312658,59,32,14,1,1
42,1,2,4,5,4.960657500418541,94,17,13,3,0
23,0,3,1,2,3.3529189730009445,54,56,41,2,0
42,1,2,6,4,1.9724025184040586,76,15,79,1,1
30,1,1,2,5,10.439701388672223,79,79,14,2,0
43,0,2,12,4,21.720419885924755,23,37,62,3,0
46,0,1,14,2,47.79130667014114,76,40,67,2,0
36,0,2,3,5,23.852982963288817,23,6,26,2,0
50,0,4,2,2,15.51275526862647,53,77,86,3,0
25,1,2,2,1,29.096762675983168,25,52,92,2,0
43,1,2,3,2,6.596728906739462,65,62,52,1,0
24,0,1,4,4,31.47529455024916,79,88,51,3,0
39,1,1,0,3,29.421597716525167,37,31,62,3,0
21,1,1,3,2,40.59965167028548,64,37,72,3,0
25,1,2,11,3,50.3343805808512,74,21,52,2,0
41,1,1,11,1,13.543673585805525,50,15,56,1,0
30,0,2,10,5,26.48282254018803,34,51,51,3,0
50,0,2,7,5,46.44327031595018,42,28,42,1,0
35,1,2,9,3,40.25949422114206,28,15,6,3,0
35,0,1,6,5,25.37031515504038,36,75,41,3,0
20,0,2,8,2,48.26858248073889,80,16,3,2,0
28,0,4,4,3,3.861834675840469,57,100,68,3,0
47,1,2,12,4,47.5499309856292,53,63,4,2,0
46,1,2,14,2,3.5253696191403274,38,90,74,1,1
25,1,1,9,2,28.365237205734218,41,88,91,2,0
35,0,4,3,2,45.52204740005429,27,12,79,1,1
48,1,2,7,4,14.13604717806514,28,71,40,2,0
22,1,2,8,1,24.612424947257928,42,55,93,1,1
39,0,3,12,5,17.21644395684833,2,4,3,2,0
47,1,2,6,3,48.60719585381757,9,11,1,3,0
46,1,2,13,1,42.18227973765454,58,40,66,3,0
23,0,2,15,3,36.45007556631898,13,2,20,2,0
38,0,2,6,5,30.381349330755434,75,98,69,2,1
45,0,4,15,4,42.029589466207405,46,32,42,2,0
22,1,3,4,2,20.613352076177353,41,85,81,3,0
50,1,2,3,2,23.377592755303095,93,49,68,2,0
38,1,1,13,4,37.500086054043074,31,55,8,2,0
39,0,1,9,1,18.88773816468571,31,8,83,3,0
26,0,2,0,1,4.195047102418691,41,81,27,2,0
39,1,3,9,3,4.716730444303574,31,49,25,3,0
28,1,2,9,4,6.768140065285193,25,28,81,3,0
20,0,2,6,1,44.48406616718314,0,38,82,3,0
27,0,3,15,4,24.611321287810217,55,90,2,1,1
26,0,1,0,5,36.64411846723682,1,99,72,2,0
37,0,2,0,2,20.645466780244664,80,44,99,3,0
27,1,1,4,2,13.935547370781725,29,16,94,2,0
20,0,4,12,2,18.359608378110597,70,55,48,2,0
30,1,2,8,4,40.70911726585918,51,97,16,1,1
47,1,1,5,4,32.26080625157191,90,45,62,1,1
44,1,2,2,3,47.8819889978951,8,66,54,2,0
44,0,2,12,2,34.985238928841696,21,68,22,2,0
37,0,3,2,3,29.5090815877347,33,13,33,2,0
42,0,3,6,2,31.509800449291724,48,66,68,2,1
50,0,2,5,3,48.11857197342073,0,22,14,2,0
49,1,1,8,3,40.4100464933353,72,93,46,2,0
29,0,1,5,5,2.202061868321891,83,60,2,2,0
22,0,1,4,3,27.70698480678486,52,22,82,2,0
26,1,2,9,4,35.41692057732824,82,26,27,2,0
47,0,3,6,3,38.434923921957754,99,53,2,1,1
35,1,2,0,2,11.657105965696834,39,9,3,2,0
45,1,1,11,3,44.35886772256761,44,88,87,2,0
35,1,2,6,1,48.79215735875819,67,76,30,2,0
44,1,3,15,2,12.835765292243488,8,15,44,2,0
39,1,3,2,1,45.13077287586229,21,40,58,2,0
47,1,3,13,2,5.84893812580477,17,97,44,1,1
36,1,2,8,4,3.7853418057622594,75,54,74,3,1
21,1,1,14,4,7.461190005137468,42,100,36,1,1
20,0,3,5,4,3.8870539733518,38,60,64,3,0
35,0,2,8,1,43.2506118577888,72,85,8,2,0
49,0,2,12,5,3.9525072229135976,5,80,16,2,0
31,0,3,14,2,14.583209568182774,82,86,64,1,1
24,1,3,4,4,6.187817176792819,47,99,2,1,1
24,0,2,6,2,15.771101815688247,6,48,25,1,0
46,1,2,12,1,5.527973380046024,79,72,52,1,1
