dataset,model__C,model__class_weight,model__l1_ratio,model__max_iter,model__penalty,model__solver,model__tol,Score
0,0.0711186785389439,balanced,0.0261128853909734,275,l1,saga,1.4651474025726946e-06,0.91409388359709
0,0.0526856206875709,,0.0,178,l1,saga,1e-06,0.9138932535813394
0,0.0098892382848874,balanced,0.0019625065624064,295,elasticnet,saga,8.283856111592192e-05,0.9135749643741096
0,0.007555508132199,,0.0878106943885039,20,elasticnet,saga,2.655675100691572e-06,0.9142557001425036
0,0.0180566678069162,balanced,0.4462974190348562,501,elasticnet,saga,1e-06,0.9138563151578788
0,0.0131197686642639,balanced,0.2214429153698582,290,elasticnet,saga,2.184393528695052e-05,0.9140314445361134
0,0.0704520410029386,balanced,0.5264712713369243,151,l1,saga,2.8284507568415343e-05,0.9140813832845822
0,0.0188452040608875,,0.3425799955625782,10,elasticnet,saga,1.1393485017381707e-06,0.914019006725168
0,0.077329999991571,balanced,0.1657122562568162,69,l1,saga,9.928455138618907e-05,0.9140689454736368
0,0.001,balanced,0.0,441,l2,saga,8.873627561686761e-06,0.9128651966299158
0,0.0040702576180495,balanced,0.0955864952180002,400,l2,saga,1.9459596477380075e-06,0.9136131528288208
0,0.0061554200525307,,0.0243804714377844,486,elasticnet,saga,7.840276015246961e-05,0.9139183792094802
0,0.0010283753535592,,0.032138043648156,464,elasticnet,saga,4.344235968406929e-06,0.9141182592064802
0,0.0194995466469479,balanced,0.4081485065012826,375,l2,saga,1.734277184832218e-06,0.9135741518537964
0,0.029995222633153,balanced,1.0,416,l2,saga,0.0001,0.9135111502787572
0,0.0366907376592473,balanced,0.1228095827791818,196,elasticnet,saga,3.168318574116123e-06,0.9138555026375658
0,0.0079841831196678,balanced,0.0641651132277644,481,elasticnet,saga,1.9243330344658304e-05,0.9145049563739094
0,0.1308318479323063,,1.0,501,l1,saga,1e-06,0.9135187442186056
0,0.0545131588056036,balanced,0.5957201574309953,121,elasticnet,saga,7.248615915120345e-06,0.9142313245331134
0,0.016814872425307,balanced,0.0,10,l2,saga,1e-06,0.9136619665491637
0,0.040987391969197,,0.6687061470339727,236,l1,saga,1.7680679398810292e-05,0.9136432473311832
0,0.0892370605797233,,0.1739625298159623,10,l1,saga,0.0001,0.9142186992174804
0,0.0268522983814689,,0.3452036341163157,172,elasticnet,saga,1.9774894590839728e-05,0.9141313845346132
0,0.0374386145323439,balanced,0.105949115980443,472,elasticnet,saga,4.2590584707464e-05,0.9138803782594564
0,0.029413380301053,balanced,0.0,10,elasticnet,saga,1e-06,0.913486212155304
0,0.0027036600955732,,0.0897546340667888,91,elasticnet,saga,5.634977835220505e-06,0.9139186917172928
0,0.011219485618272,balanced,0.0548527312886047,26,elasticnet,saga,4.556264229359135e-06,0.9145424573114328
0,0.0247731792794209,balanced,0.4319454864953267,24,l2,saga,1.140016995539236e-06,0.9134489612240304
0,0.0200938952474619,,0.0849740055802801,381,elasticnet,saga,1.767434375376585e-06,0.9142555751393786
0,0.0803101688836484,balanced,0.0199781898518829,188,l1,saga,3.789727248834092e-06,0.9141062589064726
0,0.088114299905841,balanced,0.0900939570400652,175,l1,saga,3.6960481841794544e-05,0.9141688229705744
0,0.0420318786953095,,0.4245403437240058,36,l1,saga,6.929761365188421e-06,0.9136931235780894
0,0.0893739226935677,balanced,0.8686605878772552,128,l1,saga,9.994561524139406e-06,0.9141812607815196
0,0.0055049561667859,,1.0,10,l2,saga,0.0001,0.9134757118927972
0,0.0618749344175308,,0.912931570821514,120,elasticnet,saga,7.321737618884407e-05,0.914019006725168
0,0.0086822480861124,balanced,0.1584457772761788,483,elasticnet,saga,0.0001,0.9140562576564416
0,0.0254974858173374,balanced,0.0,501,l2,saga,1e-06,0.9134612115302884
0,0.015952309626251,,0.2485775435166264,62,elasticnet,saga,1.5146223897459252e-06,0.9139566926673166
0,0.0076046870392477,balanced,0.5298157755833661,77,l2,saga,1.0018131692147458e-05,0.9134627115677892
0,0.0291817188974074,balanced,0.0,501,l2,saga,0.0001,0.913473711842796
0,0.0309942144383683,balanced,0.4472870332653104,473,elasticnet,saga,3.1303125907930397e-06,0.9140440698517462
0,0.0150453919407902,balanced,0.1332639352603052,10,elasticnet,saga,1.8829079961693469e-06,0.9141936360909022
0,0.039826322755088,balanced,0.3835155267220339,238,l1,saga,4.3848674138620494e-05,0.9138181267031676
0,0.0645738142190352,,0.90375924841675,65,l1,saga,3.978463300506031e-06,0.91409388359709
0,0.0167750055934006,balanced,0.3358079746668166,24,elasticnet,saga,2.213349302597559e-05,0.9139191292282308
0,0.0604200859793944,balanced,0.5245963887568509,323,l1,saga,1.032690365569627e-05,0.9140938210955274
0,0.0865237477201967,,1.0,501,l1,saga,1e-06,0.9141187592189804
0,0.0037494066905252,balanced,0.094034278752853,272,elasticnet,saga,7.505216736943614e-06,0.914069070476762
0,0.0047023273189873,balanced,0.0332065435580005,48,l2,saga,1.1410308747947229e-06,0.9135132128303208
0,0.0372860334691877,balanced,0.0,501,l2,saga,0.0001,0.9134733993349834
1,0.1123362169089523,,0.932867998847834,165,l2,saga,5.033414197773552e-06,0.8851737572074178
1,0.1840174394133711,balanced,0.858510100589509,424,elasticnet,saga,0.0001,0.8848059841047219
1,0.7760003593069297,,1.0,10,l2,saga,0.0001,0.8848309178743962
1,1.2882139188580088,,0.8567113774076777,345,l1,saga,9.37601945761937e-05,0.884818450989559
1,0.1039133672242306,,0.0,501,elasticnet,saga,0.0001,0.8851675237649993
1,0.6780109991306468,,0.091897146162731,434,l1,saga,8.91964516775014e-06,0.8850428549166277
1,0.0887629803378151,,0.0,501,l2,saga,1e-06,0.8852049244195107
1,0.0682028745899289,,0.1556916390885316,370,elasticnet,saga,2.18877912501871e-06,0.8855913978494622
1,5.443675768215341,,0.8878029074840855,304,elasticnet,saga,4.478128598946877e-05,0.8847374162381175
1,0.0777774082874373,,0.0,10,l2,saga,0.0001,0.8850553218014648
1,0.0657720036059785,,0.0206894371645978,463,elasticnet,saga,1.7722479678557434e-06,0.885186224092255
1,0.0881840519156706,,0.7963620134688223,311,l2,saga,7.922046485781762e-05,0.885186224092255
1,0.0302851757735685,,0.0334257124310218,495,elasticnet,saga,9.63609796609528e-05,0.8855415303101138
1,0.2266093046485313,,0.3306196361146002,487,elasticnet,saga,2.9412959354639795e-05,0.8850740221287206
1,0.0930520894435822,,1.0,10,l2,saga,0.0001,0.8852111578619292
1,0.0464530023830675,,0.4284488322786789,351,l2,saga,4.5479696365228525e-05,0.8852734922861151
1,0.1768839169898096,,0.652871682130385,192,elasticnet,saga,2.975561278711714e-05,0.8852921926133707
1,0.3501915164662892,,0.0,501,l2,saga,1e-06,0.8848683185289077
1,0.0388859021974134,balanced,0.2731938916284455,232,elasticnet,saga,1.426721409675522e-05,0.885317126383045
1,0.070897359047626,,0.6613864877890714,303,l2,saga,1.6192424035586117e-05,0.885198690977092
1,0.301038594371939,,0.2958144260049484,408,l1,saga,5.343128327173631e-05,0.8850428549166276
1,0.6608636529724282,,0.0,10,l1,saga,0.0001,0.8850179211469534
1,0.0455105509993616,,0.0,10,elasticnet,saga,0.0001,0.8853420601527192
1,0.0316706524863424,,0.086644837498929,66,elasticnet,saga,9.993307263024716e-05,0.8856911329281596
1,0.2588857716201267,,0.637272770917874,176,elasticnet,saga,1.5345164897302372e-05,0.8852547919588591
1,0.4749581155617375,,0.0,10,elasticnet,saga,1e-06,0.8848122175471405
1,0.0532577599017536,,0.0,10,l2,saga,0.0001,0.8851425899953248
1,0.3155572137625498,,0.0,501,l1,saga,1e-06,0.8850303880317906
1,0.0510851874332298,,0.3532965575267375,463,elasticnet,saga,3.796144549720796e-06,0.8855041296556022
1,0.2660689252219723,,0.880873155848483,305,elasticnet,saga,8.208395438952541e-05,0.8850864890135578
1,0.0583785810669086,,0.2215390439890022,480,l2,saga,1.4293806083587936e-06,0.8851924575346736
1,0.466056404075978,,0.2137309377687221,452,l2,saga,3.1800690959636123e-06,0.884849618201652
1,1.9669674603713632,,0.9612832897773538,106,l1,saga,2.112455298622443e-05,0.8847997506623032
1,2.2186129345887244,,0.7416490423668091,70,l1,saga,3.437266938668425e-05,0.8847872837774661
1,0.0331404253048081,,0.1819648620670304,489,l2,saga,1.391047512113927e-06,0.8853046594982078
1,0.3416648646257881,,0.4351138613689957,452,l1,saga,2.08723405505087e-05,0.8850740221287206
1,0.2031319382537276,,0.5255282545600678,154,elasticnet,saga,2.4282721414649022e-06,0.8853856942496493
1,0.0349073903295181,,0.0,206,l2,saga,1.6879165989946925e-05,0.8853358267103006
1,0.3014074877285508,,0.7935782222990472,434,l2,saga,2.717966840100574e-06,0.8848994857410005
1,0.5853705630412153,,0.0,501,l1,saga,0.0001,0.8850303880317906
1,0.537124962744605,,0.0,10,l1,saga,1e-06,0.8851363565529063
1,0.0150073777656525,balanced,0.1517586721476218,17,elasticnet,saga,2.031371014838769e-06,0.8853794608072308
1,0.2230127541115921,,0.6410398875150686,233,elasticnet,saga,1.8471091612562795e-05,0.8853794608072308
1,0.0386522672254948,balanced,0.1701516733466276,174,elasticnet,saga,1.750090466246785e-05,0.8853607604799749
1,0.0235771743547082,balanced,0.2291966281453576,10,elasticnet,saga,4.539413642089846e-05,0.8853919276920679
1,0.0796689491499715,,0.0,10,l2,saga,0.0001,0.8850179211469534
1,0.5618548676681655,,1.0,501,l1,saga,0.0001,0.8850802555711391
1,0.243559216339119,,0.2363160830607272,244,elasticnet,saga,2.617993530702113e-06,0.8850740221287206
1,0.2665655957463724,,0.914441342752227,410,l2,saga,7.254962706050515e-05,0.8849555867227678
1,0.0536876539634463,,1.0,501,l2,saga,0.0001,0.8851862240922549
2,0.5212131190318166,,0.4964667035967167,421,l1,saga,1.385337547742264e-05,0.8326862602277658
2,0.4246411488945878,,1.0,10,elasticnet,saga,1e-06,0.8327749281606155
2,0.001,,0.0,10,,saga,1e-06,0.8322636138009317
2,1.2882139188580088,,0.8567113774076777,345,l1,saga,9.37601945761937e-05,0.8324417587819712
2,0.9493689230909363,,0.4960013170610712,18,l1,saga,1.004588206660357e-06,0.8324863817181605
2,1.255110887546745,,1.0,10,elasticnet,saga,0.0001,0.8323525129095929
2,0.5869387997419382,,1.0,10,elasticnet,saga,0.0001,0.832776084039673
2,0.4483104971321262,,0.0811783857520182,37,l1,saga,1.2543403633547482e-06,0.8327750437485212
2,0.4130385392115666,,0.0,482,l1,saga,1e-06,0.8326405970004247
2,0.6426294953722576,,0.3159483157099151,10,l1,saga,2.261526170505821e-06,0.8327764308033903
2,0.9227770725824496,,0.1710186503718619,421,l1,saga,0.0001,0.8324862661302547
2,0.4636433223080918,,0.6725852774428924,501,elasticnet,saga,1e-06,0.8326192102355763
2,100.0,,0.0,10,elasticnet,saga,0.0001,0.8323534376128389
2,0.7900930614830536,,0.3030437759684327,501,elasticnet,saga,1.4908547338188612e-05,0.832397135845782
2,0.5327544396115765,,1.0,10,elasticnet,saga,1e-06,0.8326190946476705
2,61.533912275332106,,0.2352650982510926,10,l1,saga,1.1700930504065663e-05,0.8323310105568386
2,0.5430055077701671,,0.9326679104558206,161,l1,saga,4.934372270954777e-06,0.8326415217036708
2,1.0362772193709515,,0.4800732125913067,379,elasticnet,saga,9.470605950669095e-05,0.832330317029404
2,100.0,,0.0,10,elasticnet,saga,1e-06,0.8323757490809336
2,0.7237719263836738,,1.0,501,elasticnet,saga,0.0001,0.8325311202422555
2,0.5943812009798347,,0.1916489653285885,475,l1,saga,6.597679081945753e-05,0.832664064347577
2,0.5970935801605005,,0.5442095671376875,496,l1,saga,1e-06,0.8327088028716719
2,0.418863841667588,,0.5394780038763113,274,elasticnet,saga,1.0906637571862963e-06,0.832708224932143
2,0.7425882372384095,,0.9875900332948098,86,l1,saga,3.4892254375087926e-06,0.8324415276061597
2,100.0,balanced,0.0,10,,saga,0.0001,0.8325750496510101
2,1.1194830562137228,,1.0,10,elasticnet,saga,0.0001,0.8322852317415919
2,0.6044079633550336,,0.851114175162457,49,l1,saga,3.081715434308311e-05,0.8328432496197683
2,0.6494273149662277,,0.0562390306518722,226,l1,saga,1.1872549503828535e-06,0.8327319234551068
2,0.4020668312090724,,0.0,501,l1,saga,0.0001,0.8326182855323302
2,0.3598609526735166,,0.2519600979467432,300,l1,saga,1.4699666750354371e-05,0.8325059190765168
2,0.4430226139382329,,0.4672442678663094,339,elasticnet,saga,2.944229975544547e-06,0.8324851102511972
2,3.771348429075524,,0.4218454083745402,371,l2,saga,1.792469873086933e-05,0.8322860408569323
2,1.9669674603713632,,0.9612832897773538,106,l1,saga,2.112455298622443e-05,0.8323754023172163
2,2.2186129345887244,,0.7416490423668091,70,l1,saga,3.437266938668425e-05,0.8323306637931213
2,0.9109411296492634,,1.0,10,,saga,0.0001,0.8323758646688394
2,0.718858152319446,,0.4258043087757109,476,l1,saga,3.522315087051262e-05,0.8325759743542561
2,100.0,,0.2335293616349175,366,l2,saga,1e-06,0.8322413023328372
2,1.585476070612392,,0.9837024826474948,444,elasticnet,saga,1.060537893127884e-06,0.8324867284818778
2,0.7766628701951171,,0.0,501,l1,saga,0.0001,0.8323520505579697
2,0.4456191079432671,,0.5812473418718206,211,l1,saga,7.449174696808708e-06,0.8327750437485212
2,0.6251286758602873,,0.5941920690019188,448,l1,saga,1.0531224694150495e-06,0.8327318078672011
2,0.3826000403441427,,1.0,10,l1,saga,0.0001,0.8325504264248004
2,100.0,,1.0,10,,saga,1e-06,0.8326675319847497
2,0.3930375859642661,,0.4314733464804277,13,elasticnet,saga,8.452605079620089e-06,0.832596205240047
2,3.884608940797917,,0.1528773862470224,62,l2,saga,1.948250979134668e-06,0.8322637293888375
2,100.0,,0.0431461254529101,10,,saga,5.704847320258713e-06,0.8327122705088447
2,0.4902998881742678,,0.8305815036492507,132,l1,saga,6.493934105370433e-05,0.8326193258234821
2,100.0,,0.2971792932747313,172,,saga,5.592586275622348e-05,0.8322413023328372
2,0.7362978382682837,,1.0,501,elasticnet,saga,0.0001,0.8324863817181605
2,1.301158369325839,,0.4032499956351155,238,elasticnet,saga,1.4901322947472228e-06,0.8323532064370275
3,42.96242134793969,balanced,0.0389962399236163,221,elasticnet,saga,8.361790969997355e-05,0.9997807703043206
3,38.87315498793641,balanced,1.0,501,l2,saga,1e-06,0.9997936363431243
3,40.857431322826265,balanced,0.0087691402469705,260,,saga,7.355280597427034e-06,0.9997743372849184
3,100.0,balanced,1.0,131,elasticnet,saga,0.0001,0.9997807703043206
3,26.33271756826064,balanced,0.4220931751664075,359,elasticnet,saga,7.586455045083105e-06,0.9997936363431243
3,22.910624717501943,balanced,0.4165956344948202,283,elasticnet,saga,2.2751151820261992e-05,0.9997807703043206
3,100.0,balanced,0.1364327336786171,424,elasticnet,saga,2.111677110391888e-06,0.9997743372849184
3,100.0,balanced,0.2020709193366454,408,l2,saga,0.0001,0.9997743372849184
3,20.1812368403284,balanced,0.5005020213127345,451,elasticnet,saga,3.882400514678181e-05,0.9997807703043206
3,23.67413559642536,balanced,0.313285187406299,498,elasticnet,saga,1.7560001438502968e-06,0.9997807703043206
3,16.544509032521802,balanced,0.9465880753594216,119,,saga,3.395969631378349e-06,0.9997807703043206
3,0.0042848227429215,balanced,0.0048587887866866,110,,saga,1.2693454008149626e-06,0.9997807703043206
3,0.0136991311429054,balanced,0.3706680642407285,144,,saga,1.4237048545892896e-05,0.9997936363431243
3,0.150278501172738,balanced,0.7318556100404432,215,,saga,2.7282911754474228e-05,0.9997743372849184
3,62.75033466592302,,0.8771076940251088,139,l1,saga,7.566243128442769e-06,0.9997807703043206
3,55.42638194086656,balanced,0.6034966375672584,225,,saga,5.852979323725817e-06,0.9997743372849184
3,5.321578697513709,balanced,0.6632972511572423,320,l1,saga,5.322733318177601e-05,0.9997936363431243
3,92.94930234141614,balanced,0.98771998396677,473,l2,saga,8.814628713170515e-05,0.9997743372849184
3,4.713002291536567,balanced,0.2343762689631393,405,l1,saga,5.6735113680772496e-05,0.9997936363431243
3,0.1745014694523199,balanced,0.3172630318689413,151,,saga,1.4112178123823046e-05,0.9997936363431243
3,100.0,balanced,0.1964620876857356,179,l1,saga,1.391874430891394e-06,0.9997743372849184
3,0.0024772383805218,,0.4321002744558039,136,,saga,6.145823937399318e-05,0.9997807703043206
3,3.898430731327817,balanced,0.6812050298928067,173,,saga,8.113848225857e-05,0.9997743372849184
3,24.280629672284903,,0.6539631284026134,416,elasticnet,saga,6.21228899786443e-06,0.9997743372849184
3,43.59955046616728,balanced,0.6672871705877951,185,,saga,2.159149380747281e-05,0.9997743372849184
3,0.0064840111024747,balanced,0.0438539893163639,267,,saga,1.4813184242228945e-05,0.9997743372849184
3,62.05391750199193,balanced,0.2773938659306342,351,l2,saga,8.74517234116611e-06,0.9997743372849184
3,0.6236565610728751,,0.1816426710464263,143,,saga,4.131311947412426e-05,0.9997807703043206
3,0.035528978164905,balanced,0.0948238117209582,228,,saga,2.3453474504369723e-05,0.9997743372849184
3,40.85514642959856,balanced,1.0,501,l2,saga,1e-06,0.9997936363431243
3,1.6744245802688604,balanced,0.0972999317413529,294,,saga,2.482055006774102e-06,0.9997743372849184
3,0.0044597162287225,,0.7750117697694445,164,,saga,2.146075105988379e-06,0.9997743372849184
3,0.0079661939366331,,0.0,194,,saga,1.089015834027276e-06,0.9997743372849184
3,100.0,balanced,0.2356531169345811,443,elasticnet,saga,2.1456938632039816e-05,0.9997743372849184
3,86.10781654521395,,0.2043378369335206,245,l2,saga,1.8770601142984575e-06,0.9997743372849184
3,0.0713834948580206,balanced,0.2346277388259502,157,,saga,5.06622372292342e-06,0.9997936363431243
3,3.831099559529836,balanced,0.0,501,l1,saga,1e-06,0.9997807703043206
3,39.01021772065749,,0.0,143,,saga,1.318509666158922e-06,0.9997807703043206
3,100.0,balanced,0.9463585903254176,272,l1,saga,2.2815964402584244e-06,0.9997743372849184
3,100.0,balanced,0.0,326,l2,saga,0.0001,0.9997743372849184
3,100.0,balanced,0.976954437759052,164,l2,saga,4.898561995434301e-05,0.9997807703043206
3,2.6051244754710727,balanced,0.3011834386088914,160,,saga,9.43420531716461e-06,0.9997743372849184
3,4.0237124699959255,,0.2812886796649747,188,,saga,2.1585352120275477e-05,0.9997743372849184
3,0.5531862292392693,balanced,0.3279133061866562,245,,saga,3.009316181959106e-05,0.9997743372849184
3,34.45356787454787,balanced,0.2060015732521736,128,l1,saga,6.896149079361506e-05,0.9997807703043206
3,0.0100873312031219,balanced,0.8005845564394227,206,,saga,1.1292457295129137e-06,0.9997743372849184
3,0.2000909816744992,balanced,0.7750159649276688,113,,saga,1.1228723127585189e-06,0.9997807703043206
3,0.0054576003780769,balanced,0.1870051804483235,148,,saga,1.0480489066304435e-05,0.9997936363431243
3,38.80845945644771,balanced,0.8157061642127177,156,,saga,0.0001,0.9997936363431243
3,0.1193467564037869,balanced,0.845436849251534,121,,saga,2.565222375756796e-06,0.9997807703043206
